category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,text.started,text.stopped,image.started,image.stopped,fixCrossR_2.started,fixCrossR_2.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,cat.started,cat.stopped,turtle.started,turtle.stopped,auto.started,auto.stopped,hand.started,hand.stopped,farleft.started,farleft.stopped,farright.started,farright.stopped,nearleft.started,nearleft.stopped,nearright.started,nearright.stopped,kb.keys,kb.rt,kb.started,kb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,1,1,stim//cat1.png,0,0,0,0,0,0,0,0,5.4230983999987075,None,6.6245521000000736,None,6.6245521000000736,None,6.691031199999998,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
cat,1,1,stim//cat1.png,0,0,0,0,1,0,1,0,,,7.04127569999946,None,7.04127569999946,None,7.191398400000253,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
cat,1,1,stim//cat1.png,0,0,0,0,2,0,2,0,,,7.541466200000286,None,7.541466200000286,None,7.691702599999189,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
cat,1,1,stim//cat1.png,0,0,0,0,,,,,,,,,,,,,7.941868699999759,None,7.941868699999759,None,7.941868699999759,None,7.941868699999759,None,7.941868699999759,None,7.941868699999759,None,7.941868699999759,None,7.941868699999759,None,7.941868699999759,None,2,0.5051580999988801,7.941868699999759,None,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
cat,1,0,stim//cat1.png,0,1,1,1,0,0,0,0,,,11.044466599998486,None,11.044466599998486,None,11.177821799999947,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
cat,1,0,stim//cat1.png,0,1,1,1,1,0,1,0,,,11.528015399999276,None,11.528015399999276,None,11.678194500000245,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
cat,1,0,stim//cat1.png,0,1,1,1,2,0,2,0,,,12.0285645999993,None,12.0285645999993,None,12.178664899998694,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
cat,1,0,stim//cat1.png,0,1,1,1,,,,,,,,,,,,,12.428407999999763,None,12.428407999999763,None,12.428407999999763,None,12.428407999999763,None,12.428407999999763,None,12.428407999999763,None,12.428407999999763,None,12.428407999999763,None,12.428407999999763,None,4,0.595013400001335,12.428407999999763,None,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
cat,2,1,stim//cat2.png,0,2,2,2,0,0,0,0,,,15.53109989999939,None,15.53109989999939,None,15.681358499999988,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
cat,2,1,stim//cat2.png,0,2,2,2,1,0,1,0,,,16.031487299998844,None,16.031487299998844,None,16.181897599999502,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h52.14.535,untitled,2022.1.4,59.92491408230624,
