InstructionsFilepath,instructionsCont.thisRepN,instructionsCont.thisTrialN,instructionsCont.thisN,instructionsCont.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,thisRow.t,notes,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide1.png,0,0,0,0,0,0,0,0,0.12213919998612255,,0.0193511999968905,0.019841099972836673,0.024699199973838404,0.12213919998612255,0.12213919998612255,0.12213919998612255,2.842283199977828,1,[2.74881479999749],[2.748822099994868],0,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
instructions//slide2.png,1,0,1,0,0,0,0,0,2.9738915999769233,,2.88216409998131,2.8826675999735016,2.8867140999936964,2.9738915999769233,2.9738915999769233,2.9738915999769233,3.34662539997953,1,[0.3908999999985099],[0.3909099000156857],0,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
instructions//slide3.png,2,0,2,0,0,0,0,0,3.505662999988999,,3.3852937999763526,3.3858656999946106,3.390787399985129,3.505662999988999,3.505662999988999,3.505662999988999,3.8743695999728516,1,[0.39098330002161674],[0.3909896000113804],0,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
instructions//slide4.png,3,0,3,0,0,0,0,0,4.043339899973944,,3.9193222999747377,3.9198487999965437,3.9243185999803245,4.043339899973944,4.043339899973944,4.043339899973944,4.546396799996728,1,[0.5254110000096262],[0.5254157000163104],0,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
instructions//slide5.png,4,0,4,0,0,0,0,0,4.700027699989732,,4.603409899980761,4.603816999995615,4.608383599988883,4.700027699989732,4.700027699989732,4.700027699989732,5.498278699989896,1,[0.8188444999977946],[0.8188550999911968],0,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
instructions//slide6.png,5,0,5,0,0,0,0,0,5.655495999992127,,5.549672599998303,5.550163699983386,5.554510999994818,5.655495999992127,5.655495999992127,5.655495999992127,6.307035399979213,1,[0.6729409999970812],[0.6729517999920063],0,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h25.54.838,pilotv2,2023.2.3,60.028549571943216,2023-11-06 22h26.00.102078 +0100,
,,,,,,,,,,,6.364383699983591,6.364924699999392,,,,,,,,,,,,,,,,,,,
