category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007677999965380877,0.008152399968821555,0.008523500000592321,0.024898900010157377,0.024898900010157377,2.7455734999966808,['5'],[2.7144683999940753],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,0,0,0,0,3.978051999991294,,,,,,,,,,,2.752857799991034,2.76112399995327,3.978051999991294,3.7450041999691166,3.745985399989877,3.978051999991294,3.978051999991294,4.227662399993278,4.227662399993278,4.211837099981494,4.2118613999919035,4.227662399993278,4.5946925999596715,4.4621522999950685,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,1,0,1,0,4.5946925999596715,,,,,,,,,,,,,,,4.462698099960107,4.5946925999596715,4.5946925999596715,4.84504589997232,4.84504589997232,4.82901409995975,4.829038899973966,4.84504589997232,5.279080599953886,5.079277099983301,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,2,0,2,0,5.279080599953886,,,,,,,,,,,,,,,5.079807400004938,5.279080599953886,5.279080599953886,5.529652199998964,5.529652199998964,5.5128379999659956,5.512851100007538,5.529652199998964,5.8305649000103585,5.763378200004809,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.779791599954478,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,5.8305649000103585,9.833650699991267,3,0.5730871999985538,None,space,3.9962944999570027,None,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,0,0,0,0,10.951353599957656,,,,,,,,,,,9.835189899953548,9.84885419998318,10.951353599957656,10.833948699990287,10.834406399982981,10.951353599957656,10.951353599957656,11.200432399986312,11.200432399986312,11.183988399978261,11.184014200000092,11.200432399986312,11.55209339997964,11.434646699985024,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,1,0,1,0,11.55209339997964,,,,,,,,,,,,,,,11.43516739999177,11.55209339997964,11.55209339997964,11.800655899976846,11.800655899976846,11.784754499967676,11.784779399982654,11.800655899976846,12.234482700005174,12.03517789999023,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,2,0,2,0,12.234482700005174,,,,,,,,,,,,,,,12.035420499974862,12.234482700005174,12.234482700005174,12.484840299992356,12.484840299992356,12.468665899999905,12.468690000008792,12.484840299992356,12.768522600003053,12.718778399983421,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.739250699989498,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,12.768522600003053,19.37502759997733,2,1.8666262000333518,None,space,6.594556400028523,None,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
car,1,stim//obj1.png,stim//car1.png,Half Left,Full Right,Full Left,Half Right,Car,Turtle,Horse,Shoe,False,2.877,,,,,0,2,2,2,0,0,0,0,20.50811659998726,,,,,,,,,,,19.376277400006074,19.39050809998298,20.50811659998726,20.375088599976152,20.375570699980017,20.50811659998726,20.50811659998726,20.7581697999849,20.7581697999849,20.74246249999851,20.742488299962133,20.7581697999849,21.108534800005145,20.992260099970736,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h25.59.849,pilotv2,2023.2.3,59.90104348276319,2023-11-08 15h26.09.996617 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,21.108534800005145,,,,,,,,,,,,,,,20.99268669995945,21.108534800005145,21.108534800005145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
