2.4040 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
4.9793 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
5.8252 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002844EB30130>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002844EB300D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002844EB20FA0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002844F0990D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.8253 	EXP 	window1: mouseVisible = True
5.8253 	EXP 	window1: backgroundImage = ''
5.8253 	EXP 	window1: backgroundFit = 'none'
5.8268 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.8268 	EXP 	window1: recordFrameIntervals = False
5.9915 	EXP 	window1: recordFrameIntervals = True
6.1750 	EXP 	Screen (0) actual frame rate measured at 60.21Hz
6.1751 	EXP 	window1: recordFrameIntervals = False
6.1753 	EXP 	window1: mouseVisible = False
8.3955 	EXP 	pilotv2: status = STARTED
8.3959 	EXP 	window1: mouseVisible = True
8.4056 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.96, 0.54]), texRes=128.0, units='height', win=Window(...))
8.4058 	EXP 	window1: mouseVisible = True
8.4060 	EXP 	window1: mouseVisible = True
8.4064 	EXP 	window1: mouseVisible = True
8.4068 	EXP 	window1: mouseVisible = True
8.4316 	EXP 	window1: mouseVisible = True
8.4317 	EXP 	window1: mouseVisible = True
8.4321 	EXP 	window1: mouseVisible = True
8.4325 	EXP 	window1: mouseVisible = True
8.4550 	EXP 	window1: mouseVisible = True
8.4552 	EXP 	window1: mouseVisible = True
8.4553 	EXP 	window1: mouseVisible = True
8.4557 	EXP 	window1: mouseVisible = True
8.4561 	EXP 	window1: mouseVisible = True
8.4766 	EXP 	window1: mouseVisible = True
8.4767 	EXP 	window1: mouseVisible = True
8.4771 	EXP 	window1: mouseVisible = True
8.4775 	EXP 	window1: mouseVisible = True
8.4977 	EXP 	window1: mouseVisible = True
8.4979 	EXP 	window1: mouseVisible = True
8.5597 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.5599 	EXP 	window1: mouseVisible = True
8.5600 	EXP 	window1: mouseVisible = True
8.5605 	EXP 	window1: mouseVisible = True
8.5609 	EXP 	window1: mouseVisible = True
8.5835 	EXP 	window1: mouseVisible = True
8.5837 	EXP 	window1: mouseVisible = True
8.5841 	EXP 	window1: mouseVisible = True
8.5845 	EXP 	window1: mouseVisible = True
8.5943 	EXP 	window1: mouseVisible = True
8.5946 	EXP 	window1: mouseVisible = True
8.5947 	EXP 	window1: mouseVisible = True
8.5951 	EXP 	window1: mouseVisible = True
8.5955 	EXP 	window1: mouseVisible = True
8.6040 	EXP 	window1: mouseVisible = True
8.6041 	EXP 	window1: mouseVisible = True
8.6045 	EXP 	window1: mouseVisible = True
8.6049 	EXP 	window1: mouseVisible = True
8.6082 	EXP 	window1: mouseVisible = True
8.6083 	EXP 	window1: mouseVisible = True
8.6119 	EXP 	Created image_17 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori1.png', interpolate=True, mask=None, maskParams=None, name='image_17', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
8.6120 	EXP 	window1: mouseVisible = True
8.6167 	EXP 	Created text_9 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_9', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.6169 	EXP 	window1: mouseVisible = True
8.6170 	EXP 	window1: mouseVisible = True
8.6174 	EXP 	window1: mouseVisible = True
8.6178 	EXP 	window1: mouseVisible = True
8.6215 	EXP 	window1: mouseVisible = True
8.6217 	EXP 	window1: mouseVisible = True
8.6221 	EXP 	window1: mouseVisible = True
8.6225 	EXP 	window1: mouseVisible = True
8.6257 	EXP 	window1: mouseVisible = True
8.6259 	EXP 	window1: mouseVisible = True
8.6260 	EXP 	window1: mouseVisible = True
8.6264 	EXP 	window1: mouseVisible = True
8.6268 	EXP 	window1: mouseVisible = True
8.6305 	EXP 	window1: mouseVisible = True
8.6307 	EXP 	window1: mouseVisible = True
8.6310 	EXP 	window1: mouseVisible = True
8.6314 	EXP 	window1: mouseVisible = True
8.6347 	EXP 	window1: mouseVisible = True
8.6348 	EXP 	window1: mouseVisible = True
8.6386 	EXP 	Created image_18 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj2.png', interpolate=True, mask=None, maskParams=None, name='image_18', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
8.6387 	EXP 	window1: mouseVisible = True
8.6433 	EXP 	Created text_10 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_10', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.6435 	EXP 	window1: mouseVisible = True
8.6436 	EXP 	window1: mouseVisible = True
8.6440 	EXP 	window1: mouseVisible = True
8.6444 	EXP 	window1: mouseVisible = True
8.6481 	EXP 	window1: mouseVisible = True
8.6483 	EXP 	window1: mouseVisible = True
8.6487 	EXP 	window1: mouseVisible = True
8.6491 	EXP 	window1: mouseVisible = True
8.6523 	EXP 	window1: mouseVisible = True
8.6525 	EXP 	window1: mouseVisible = True
8.6526 	EXP 	window1: mouseVisible = True
8.6530 	EXP 	window1: mouseVisible = True
8.6535 	EXP 	window1: mouseVisible = True
8.6573 	EXP 	window1: mouseVisible = True
8.6574 	EXP 	window1: mouseVisible = True
8.6578 	EXP 	window1: mouseVisible = True
8.6582 	EXP 	window1: mouseVisible = True
8.6615 	EXP 	window1: mouseVisible = True
8.6616 	EXP 	window1: mouseVisible = True
8.6653 	EXP 	Created image_19 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori2.png', interpolate=True, mask=None, maskParams=None, name='image_19', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
8.6655 	EXP 	window1: mouseVisible = True
8.6700 	EXP 	Created text_11 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_11', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.6702 	EXP 	window1: mouseVisible = True
8.6703 	EXP 	window1: mouseVisible = True
8.6707 	EXP 	window1: mouseVisible = True
8.6711 	EXP 	window1: mouseVisible = True
8.6750 	EXP 	window1: mouseVisible = True
8.6751 	EXP 	window1: mouseVisible = True
8.6755 	EXP 	window1: mouseVisible = True
8.6759 	EXP 	window1: mouseVisible = True
8.6793 	EXP 	window1: mouseVisible = True
8.6794 	EXP 	window1: mouseVisible = True
8.6796 	EXP 	window1: mouseVisible = True
8.6800 	EXP 	window1: mouseVisible = True
8.6803 	EXP 	window1: mouseVisible = True
8.6841 	EXP 	window1: mouseVisible = True
8.6842 	EXP 	window1: mouseVisible = True
8.6846 	EXP 	window1: mouseVisible = True
8.6850 	EXP 	window1: mouseVisible = True
8.6883 	EXP 	window1: mouseVisible = True
8.6884 	EXP 	window1: mouseVisible = True
