category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,text.started,text.stopped,image.started,image.stopped,fixCrossR_2.started,fixCrossR_2.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,cat.started,cat.stopped,turtle.started,turtle.stopped,auto.started,auto.stopped,hand.started,hand.stopped,farleft.started,farleft.stopped,farright.started,farright.stopped,nearleft.started,nearleft.stopped,nearright.started,nearright.stopped,kb.keys,kb.rt,kb.started,kb.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,3,1,stim//cat3.png,0,4,4,4,1,0,1,0,,,25.975538900000174,None,25.975538900000174,None,26.1254871000001,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,3,1,stim//cat3.png,0,4,4,4,2,0,2,0,,,26.475844999999026,None,26.475844999999026,None,26.62595019999935,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,3,1,stim//cat3.png,0,4,4,4,,,,,,,,,,,,,26.875841299999593,None,26.875841299999593,None,26.875841299999593,None,26.875841299999593,None,26.875841299999593,None,26.875841299999593,None,26.875841299999593,None,26.875841299999593,None,26.875841299999593,None,3,0.3889746999993804,26.875841299999593,None,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,3,0,stim//cat3.png,0,5,5,5,0,0,0,0,,,29.978834600000482,None,29.978834600000482,None,30.128634799999418,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,3,0,stim//cat3.png,0,5,5,5,1,0,1,0,,,30.478995400000713,None,30.478995400000713,None,30.629318199999034,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,3,0,stim//cat3.png,0,5,5,5,2,0,2,0,,,30.979613600000448,None,30.979613600000448,None,31.129837500000576,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,3,0,stim//cat3.png,0,5,5,5,,,,,,,,,,,,,31.380014099999244,None,31.380014099999244,None,31.380014099999244,None,31.380014099999244,None,31.380014099999244,None,31.380014099999244,None,31.380014099999244,None,31.380014099999244,None,31.380014099999244,None,2,0.04466830000092159,31.380014099999244,None,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,4,1,stim//cat4.png,0,6,6,6,0,0,0,0,,,34.48217990000012,None,34.48217990000012,None,34.63279920000059,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,4,1,stim//cat4.png,0,6,6,6,1,0,1,0,,,34.98277550000057,None,34.98277550000057,None,35.133064300000115,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,4,1,stim//cat4.png,0,6,6,6,2,0,2,0,,,35.48332029999983,None,35.48332029999983,None,35.63311900000008,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,4,1,stim//cat4.png,0,6,6,6,,,,,,,,,,,,,35.88333839999905,None,35.88333839999905,None,35.88333839999905,None,35.88333839999905,None,35.88333839999905,None,35.88333839999905,None,35.88333839999905,None,35.88333839999905,None,35.88333839999905,None,None,,35.88333839999905,None,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,4,0,stim//cat4.png,0,7,7,7,0,0,0,0,,,38.98617629999899,None,38.98617629999899,None,39.136172700000316,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,4,0,stim//cat4.png,0,7,7,7,1,0,1,0,,,39.48664660000031,None,39.48664660000031,None,39.636455699999715,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,4,0,stim//cat4.png,0,7,7,7,2,0,2,0,,,39.98710319999918,None,39.98710319999918,None,40.136909200000446,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
cat,4,0,stim//cat4.png,0,7,7,7,,,,,,,,,,,,,40.38713110000026,None,40.38713110000026,None,40.38713110000026,None,40.38713110000026,None,40.38713110000026,None,40.38713110000026,None,40.38713110000026,None,40.38713110000026,None,40.38713110000026,None,None,,40.38713110000026,None,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
auto,1,1,stim//auto1.png,0,8,8,8,0,0,0,0,,,43.47393310000007,None,43.47393310000007,None,43.62330429999929,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
auto,1,1,stim//auto1.png,0,8,8,8,1,0,1,0,,,43.975157700000636,None,43.975157700000636,None,44.124020199998995,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
auto,1,1,stim//auto1.png,0,8,8,8,2,0,2,0,,,44.474233599999934,None,44.474233599999934,None,44.6241573999996,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
auto,1,1,stim//auto1.png,0,8,8,8,,,,,,,,,,,,,44.87442220000048,None,44.87442220000048,None,44.87442220000048,None,44.87442220000048,None,44.87442220000048,None,44.87442220000048,None,44.87442220000048,None,44.87442220000048,None,44.87442220000048,None,None,,44.87442220000048,None,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
auto,1,0,stim//auto1.png,0,9,9,9,0,0,0,0,,,47.976876799999445,None,47.976876799999445,None,48.12739949999923,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h50.45.112,untitled,2022.1.4,59.857336025189156,
