category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,codeAcc.started,codeAcc.stopped,ITI.started,fixCrossR.started,text_total.started,text_acc.started,text_total.stopped,text_acc.stopped,fixCrossR.stopped,ITI.stopped,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012563399970531464,0.012915599974803627,0.013281199964694679,0.02941439999267459,0.02941439999267459,7.219504099979531,['5'],[7.173955300007947],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
turtle,4,stim//obj1.png,stim//turtle4.png,Shoe,Turtle,Car,Horse,Full Right,Full Left,Half Left,Half Right,True,2.247,,,,,0,0,0,0,0,0,0,0,8.436198899988085,,,,,,,,,,,7.2417315999628045,7.251455599965993,8.236139099986758,8.237249900004826,8.436198899988085,8.436198899988085,8.686323700007051,8.686323700007051,8.670131499995477,8.670154999999795,8.686323700007051,9.039424999966286,8.92049180000322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
turtle,4,stim//obj1.png,stim//turtle4.png,Shoe,Turtle,Car,Horse,Full Right,Full Left,Half Left,Half Right,True,2.247,,,,,0,0,0,0,1,0,1,0,9.039424999966286,,,,,,,,,,,,,,8.920806999958586,9.039424999966286,9.039424999966286,9.286895299970638,9.286895299970638,9.271038999955636,9.27106850000564,9.286895299970638,9.690407599962782,9.520975599996746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
turtle,4,stim//obj1.png,stim//turtle4.png,Shoe,Turtle,Car,Horse,Full Right,Full Left,Half Left,Half Right,True,2.247,,,,,0,0,0,0,2,0,2,0,9.690407599962782,,,,,,,,,,,,,,9.521223299962003,9.690407599962782,9.690407599962782,9.937451399979182,9.937451399979182,9.92148439999437,9.921513799985405,9.937451399979182,10.238828399975318,10.171627299976535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
turtle,4,stim//obj1.png,stim//turtle4.png,Shoe,Turtle,Car,Horse,Full Right,Full Left,Half Left,Half Right,True,2.247,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.189849899965338,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,10.238828399975318,13.173703200009186,2,0.9011809999938123,None,13.175477999961004,13.175758700002916,13.17577039997559,13.189955899957567,13.189955899957567,13.189955899957567,14.391177099954803,14.391177099954803,15.441948699997738,15.425992599979509,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
car,1,stim//ori1.png,stim//car1.png,Full Right,Half Right,Full Left,Half Left,Horse,Turtle,Car,Shoe,False,2.559,,,,,0,1,1,1,0,0,0,0,16.542925899964757,,,,,,,,,,,15.426329099980649,15.441948699997738,16.42633789998945,16.427219899953343,16.542925899964757,16.542925899964757,16.793099999951664,16.793099999951664,16.77706870000111,16.77709909999976,16.793099999951664,17.143401799956337,17.02723619999597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
car,1,stim//ori1.png,stim//car1.png,Full Right,Half Right,Full Left,Half Left,Horse,Turtle,Car,Shoe,False,2.559,,,,,0,1,1,1,1,0,1,0,17.143401799956337,,,,,,,,,,,,,,17.027517199981958,17.143401799956337,17.143401799956337,17.393585599958897,17.393585599958897,17.377420499979053,17.37744319997728,17.393585599958897,17.810462299967185,17.62783109996235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
car,1,stim//ori1.png,stim//car1.png,Full Right,Half Right,Full Left,Half Left,Horse,Turtle,Car,Shoe,False,2.559,,,,,0,1,1,1,2,0,2,0,17.810462299967185,,,,,,,,,,,,,,17.628376799984835,17.810462299967185,17.810462299967185,18.060820599959698,18.060820599959698,18.044948700000532,18.044973299955018,18.060820599959698,18.344337299990002,18.294791399966925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
car,1,stim//ori1.png,stim//car1.png,Full Right,Half Right,Full Left,Half Left,Horse,Turtle,Car,Shoe,False,2.559,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.31669259996852,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,18.344337299990002,21.297126099991146,3,2.6359016000060365,None,21.298279899987392,21.298569999984466,21.2985817999579,21.313156999996863,21.313156999996863,21.313156999996863,22.514317099994514,22.514317099994514,23.882692299957853,23.86640780000016,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
car,2,stim//ori1.png,stim//car2.png,Half Right,Full Right,Full Left,Half Left,Shoe,Horse,Car,Turtle,False,2.393,,,,,0,2,2,2,0,0,0,0,24.983047599962447,,,,,,,,,,,23.86665769998217,23.882692299957853,24.866684000007808,24.86744949995773,24.983047599962447,24.983047599962447,25.23342419997789,25.23342419997789,25.217477299971506,25.21750729996711,25.23342419997789,25.58353199996054,25.46778099995572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
car,2,stim//ori1.png,stim//car2.png,Half Right,Full Right,Full Left,Half Left,Shoe,Horse,Car,Turtle,False,2.393,,,,,0,2,2,2,1,0,1,0,25.58353199996054,,,,,,,,,,,,,,25.46832839999115,25.58353199996054,25.58353199996054,25.833958500006702,25.833958500006702,25.817906599957496,25.817936200008262,25.833958500006702,26.25089399999706,26.06823049997911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
car,2,stim//ori1.png,stim//car2.png,Half Right,Full Right,Full Left,Half Left,Shoe,Horse,Car,Turtle,False,2.393,,,,,0,2,2,2,2,0,2,0,26.25089399999706,,,,,,,,,,,,,,26.06864069995936,26.25089399999706,26.25089399999706,26.50118449999718,26.50118449999718,26.485422700003255,26.48543589998735,26.50118449999718,26.784607299952768,26.73543909995351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
car,2,stim//ori1.png,stim//car2.png,Half Right,Full Right,Full Left,Half Left,Shoe,Horse,Car,Turtle,False,2.393,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.762956799997482,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,26.784607299952768,29.73747309995815,4,1.3948147000046447,None,29.73853189998772,29.738785599998664,29.738797099969815,29.753789699985646,29.753789699985646,29.753789699985646,30.95489659998566,30.95489659998566,32.15585479995934,32.14003429998411,,44,6,2023-11-07_11h00.28.447,pilotv2,2023.2.3,60.062982047077824,2023-11-07 11h02.15.954782 +0100,
