category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,text.started,text.stopped,image.started,image.stopped,fixCrossR_2.started,fixCrossR_2.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,cat.started,cat.stopped,auto.started,auto.stopped,turtle.started,turtle.stopped,hand.started,hand.stopped,farleft.started,farleft.stopped,farright.started,farright.stopped,nearleft.started,nearleft.stopped,nearright.started,nearright.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,1,1,stim//cat1.png,0,0,0,0,0,0,0,0,6.0022736000000805,None,7.2009736999998495,None,7.2009736999998495,None,7.267512000000352,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
cat,1,1,stim//cat1.png,0,0,0,0,1,0,1,0,,,7.618890200000351,None,7.618890200000351,None,7.769618700000137,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
cat,1,1,stim//cat1.png,0,0,0,0,2,0,2,0,,,8.1185174000002,None,8.1185174000002,None,8.268183399999543,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
cat,1,1,stim//cat1.png,0,0,0,0,,,,,,,,,,,,,8.518336899999667,None,8.518336899999667,None,8.518336899999667,None,8.518336899999667,None,8.518336899999667,None,8.518336899999667,None,8.518336899999667,None,8.518336899999667,None,8.518336899999667,None,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
cat,1,0,stim//cat1.png,0,1,1,1,0,0,0,0,,,11.62065470000016,None,11.62065470000016,None,11.771133100000043,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
cat,1,0,stim//cat1.png,0,1,1,1,1,0,1,0,,,12.121340099999543,None,12.121340099999543,None,12.271252399999867,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
cat,1,0,stim//cat1.png,0,1,1,1,2,0,2,0,,,12.621705200000179,None,12.621705200000179,None,12.771904999999606,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
cat,1,0,stim//cat1.png,0,1,1,1,,,,,,,,,,,,,13.021773999999823,None,13.021773999999823,None,13.021773999999823,None,13.021773999999823,None,13.021773999999823,None,13.021773999999823,None,13.021773999999823,None,13.021773999999823,None,13.021773999999823,None,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
cat,2,1,stim//cat2.png,0,2,2,2,0,0,0,0,,,16.110757499999636,None,16.110757499999636,None,16.27489280000009,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
cat,2,1,stim//cat2.png,0,2,2,2,1,0,1,0,,,16.625128900000163,None,16.625128900000163,None,16.77490089999992,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h20.26.423,untitled,2022.1.4,59.67398906299802,
