category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,codeAcc.started,codeAcc.stopped,ITI.started,fixCrossR.started,text_total.started,text_acc.started,text_total.stopped,text_acc.stopped,fixCrossR.stopped,ITI.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005466500006150454,0.005987600015942007,0.006377900019288063,0.021356499986723065,0.021356499986723065,5.660400099994149,['5'],[5.633673499978613],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h43.46.613,pilotv2,2023.2.3,59.99080940785551,2023-11-07 10h43.52.471916 +0100,
horse,3,stim//obj1.png,stim//horse3.png,Shoe,Turtle,Car,Horse,Full Left,Half Right,Full Right,Half Left,True,2.275,,,,,0,0,0,0,0,0,0,0,6.877205800032243,,,,,,,,,,,5.6881227000267245,5.709341800014954,6.676838200015482,6.677769400004763,6.877205800032243,6.877205800032243,7.127152700035367,7.127152700035367,7.111397400032729,7.111410800018348,7.127152700035367,7.477636700030416,7.3617686000070535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h43.46.613,pilotv2,2023.2.3,59.99080940785551,2023-11-07 10h43.52.471916 +0100,
horse,3,stim//obj1.png,stim//horse3.png,Shoe,Turtle,Car,Horse,Full Left,Half Right,Full Right,Half Left,True,2.275,,,,,0,0,0,0,1,0,1,0,7.477636700030416,,,,,,,,,,,,,,7.36215080000693,7.477636700030416,7.477636700030416,7.7284510000026785,7.7284510000026785,7.711650700017344,7.7116662000189535,7.7284510000026785,8.144501300004777,7.961717099999078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h43.46.613,pilotv2,2023.2.3,59.99080940785551,2023-11-07 10h43.52.471916 +0100,
horse,3,stim//obj1.png,stim//horse3.png,Shoe,Turtle,Car,Horse,Full Left,Half Right,Full Right,Half Left,True,2.275,,,,,0,0,0,0,2,0,2,0,8.144501300004777,,,,,,,,,,,,,,7.962104799982626,8.144501300004777,8.144501300004777,8.3950561999809,8.3950561999809,8.378894500026945,8.378907400008757,8.3950561999809,8.711549400002696,8.629400000034366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h43.46.613,pilotv2,2023.2.3,59.99080940785551,2023-11-07 10h43.52.471916 +0100,
horse,3,stim//obj1.png,stim//horse3.png,Shoe,Turtle,Car,Horse,Full Left,Half Right,Full Right,Half Left,True,2.275,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.659048700006679,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,8.711549400002696,11.63141169998562,4,1.0569456000230275,None,11.632874300004914,11.633182500023395,11.633194499998353,11.647382800001651,11.647382800001651,11.647382800001651,12.848783300025389,12.848783300025389,13.932836199994199,13.91676870000083,44,2,2023-11-07_10h43.46.613,pilotv2,2023.2.3,59.99080940785551,2023-11-07 10h43.52.471916 +0100,
turtle,1,stim//obj1.png,stim//turtle1.png,Half Right,Full Left,Half Left,Full Right,Horse,Turtle,Shoe,Car,False,2.495,,,,,0,1,1,1,0,0,0,0,15.034578300022986,,,,,,,,,,,13.917187499988358,13.932836199994199,14.91706870001508,14.918160900007933,15.034578300022986,15.034578300022986,15.283935000014026,15.283935000014026,15.267798200016841,15.267822000023443,15.283935000014026,15.636225800029933,15.51809000002686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,2023-11-07_10h43.46.613,pilotv2,2023.2.3,59.99080940785551,2023-11-07 10h43.52.471916 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,15.636225800029933,,,,,,,,,,,,,,15.518335500033572,15.636225800029933,15.636225800029933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
