3.7392 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
9.2183 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
10.2694 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017D87AE3310>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017D87AE32B0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017D87AE3100>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000017D880B32B0>, multiSample=False, name='window1', numSamples=2, pos=(-1920, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.2695 	EXP 	window1: mouseVisible = True
10.2696 	EXP 	window1: backgroundImage = ''
10.2696 	EXP 	window1: backgroundFit = 'none'
10.2726 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.2727 	EXP 	window1: recordFrameIntervals = False
10.4342 	EXP 	window1: recordFrameIntervals = True
10.6175 	EXP 	Screen (0) actual frame rate measured at 60.34Hz
10.6175 	EXP 	window1: recordFrameIntervals = False
10.6177 	EXP 	window1: mouseVisible = False
14.1186 	EXP 	pilotv2: status = STARTED
14.1188 	EXP 	window1: mouseVisible = True
14.1343 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
14.1347 	EXP 	window1: mouseVisible = True
14.1348 	EXP 	window1: mouseVisible = True
14.1356 	EXP 	window1: mouseVisible = True
14.1362 	EXP 	window1: mouseVisible = True
14.1571 	EXP 	window1: mouseVisible = True
14.1573 	EXP 	window1: mouseVisible = True
14.1580 	EXP 	window1: mouseVisible = True
14.1586 	EXP 	window1: mouseVisible = True
14.1765 	EXP 	window1: mouseVisible = True
14.1768 	EXP 	window1: mouseVisible = True
14.1770 	EXP 	window1: mouseVisible = True
14.1777 	EXP 	window1: mouseVisible = True
14.1784 	EXP 	window1: mouseVisible = True
14.1960 	EXP 	window1: mouseVisible = True
14.1962 	EXP 	window1: mouseVisible = True
14.1968 	EXP 	window1: mouseVisible = True
14.1975 	EXP 	window1: mouseVisible = True
14.2026 	EXP 	window1: mouseVisible = True
14.2029 	EXP 	window1: mouseVisible = True
14.2942 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
14.2945 	EXP 	window1: mouseVisible = True
14.2947 	EXP 	window1: mouseVisible = True
14.2954 	EXP 	window1: mouseVisible = True
14.2961 	EXP 	window1: mouseVisible = True
14.3325 	EXP 	window1: mouseVisible = True
14.3328 	EXP 	window1: mouseVisible = True
14.3334 	EXP 	window1: mouseVisible = True
14.3341 	EXP 	window1: mouseVisible = True
14.3497 	EXP 	window1: mouseVisible = True
14.3501 	EXP 	window1: mouseVisible = True
14.3503 	EXP 	window1: mouseVisible = True
14.3509 	EXP 	window1: mouseVisible = True
14.3515 	EXP 	window1: mouseVisible = True
14.3646 	EXP 	window1: mouseVisible = True
14.3648 	EXP 	window1: mouseVisible = True
14.3655 	EXP 	window1: mouseVisible = True
14.3661 	EXP 	window1: mouseVisible = True
14.3712 	EXP 	window1: mouseVisible = True
14.3714 	EXP 	window1: mouseVisible = True
14.3772 	EXP 	Created image_17 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori1.png', interpolate=True, mask=None, maskParams=None, name='image_17', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
14.3773 	EXP 	window1: mouseVisible = True
