category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,text.started,text.stopped,image.started,image.stopped,fixCrossR_2.started,fixCrossR_2.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,cat.started,cat.stopped,turtle.started,turtle.stopped,auto.started,auto.stopped,hand.started,hand.stopped,farleft.started,farleft.stopped,farright.started,farright.stopped,nearleft.started,nearleft.stopped,nearright.started,nearright.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,1,1,stim//cat1.png,0,0,0,0,0,0,0,0,5.936944300000505,None,7.13745900000049,None,7.13745900000049,None,7.204236100000344,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h40.18.144,untitled,2022.1.4,60.12871151996619,
cat,1,1,stim//cat1.png,0,0,0,0,1,0,1,0,,,7.571529800000462,None,7.571529800000462,None,7.704756300000554,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h40.18.144,untitled,2022.1.4,60.12871151996619,
cat,1,1,stim//cat1.png,0,0,0,0,2,0,2,0,,,8.055396300000211,None,8.055396300000211,None,8.20515609999984,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h40.18.144,untitled,2022.1.4,60.12871151996619,
cat,1,1,stim//cat1.png,0,0,0,0,,,,,,,,,,,,,8.45555450000029,None,8.45555450000029,None,8.45555450000029,None,8.45555450000029,None,8.45555450000029,None,8.45555450000029,None,8.45555450000029,None,8.45555450000029,None,8.45555450000029,None,1,1.0039334999992207,8.45555450000029,None,,001,2023-10-11_15h40.18.144,untitled,2022.1.4,60.12871151996619,
cat,1,0,stim//cat1.png,0,1,1,1,0,0,0,0,,,11.541441000000304,None,11.541441000000304,None,11.69128720000026,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h40.18.144,untitled,2022.1.4,60.12871151996619,
cat,1,0,stim//cat1.png,0,1,1,1,1,0,1,0,,,12.041862300000503,None,12.041862300000503,None,12.191779100000531,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h40.18.144,untitled,2022.1.4,60.12871151996619,
cat,1,0,stim//cat1.png,0,1,1,1,2,0,2,0,,,12.542301899999984,None,12.542301899999984,None,12.692441099999996,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h40.18.144,untitled,2022.1.4,60.12871151996619,
cat,1,0,stim//cat1.png,0,1,1,1,,,,,,,,,,,,,12.942650200000571,None,12.942650200000571,None,12.942650200000571,None,12.942650200000571,None,12.942650200000571,None,12.942650200000571,None,12.942650200000571,None,12.942650200000571,None,12.942650200000571,None,4,1.6046698999998625,12.942650200000571,None,,001,2023-10-11_15h40.18.144,untitled,2022.1.4,60.12871151996619,
