n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,6
date,2023-11-07_11h00.28.447
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,60.062982047077824
expStart,2023-11-07 11h02.15.954782 +0100
