InstructionsFilepath,Instructions2Filepath,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,instructions2_controller.thisRepN,instructions2_controller.thisTrialN,instructions2_controller.thisN,instructions2_controller.thisIndex,instruction2_slide_loop.thisRepN,instruction2_slide_loop.thisTrialN,instruction2_slide_loop.thisN,instruction2_slide_loop.thisIndex,thisRow.t,notes,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,instruction2prep.started,instruction2prep.stopped,Instructions2.started,buttonBack_2.started,buttonNext_2.started,imageInstruct_2.started,Instructions2.stopped,buttonBack_2.numClicks,buttonBack_2.timesOn,buttonBack_2.timesOff,buttonNext_2.numClicks,buttonNext_2.timesOn,buttonNext_2.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide6.png,,5,0,5,0,0,0,0,0,,,,,,,,,4.783348800003296,,4.68729160001385,4.687845600012224,4.692296799999895,4.783348800003296,4.783348800003296,4.783348800003296,5.384683500014944,1,[0.6225824000139255],[0.6225865000160411],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,,6,0,6,0,,,,,,,,,,,,,5.576843799994094,,5.452881400007755,5.453309200005606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,instructions//slide7.png,,,,,,,,,0,0,0,0,0,0,0,0,9.309693000017432,,,,,,,,,,,,,,,5.552666600007797,5.576843799994094,5.576843799994094,5.576843799994094,5.576843799994094,7.112135100003798,0,,,1,[1.5575589999789372],[1.557571099983761],7.112196200003382,7.12655790001736,7.12655790001736,7.12655790001736,7.12655790001736,7.561953099997481,1,[0.44800560001749545],[0.44801940000616014],0,,,7.56201449999935,7.576724400016246,7.576724400016246,7.576724400016246,7.576724400016246,8.461896099994192,0,,,1,[0.8983179999922868],[0.8983225999982096],8.461956100014504,8.476472800015472,8.476472800015472,8.476472800015472,8.476472800015472,9.197342600004049,1,[0.7339368999819271],[0.7339409999840427],0,,,9.205975999997463,9.206394300010288,9.2104171999963,9.309693000017432,9.309693000017432,9.309693000017432,10.928304700006265,0,,,1,[1.6373841000022367],[1.6373967000108678],,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,instructions//slide7.png,,,,,,,,,1,0,1,0,0,0,0,0,11.143357499997364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.046757900010562,11.047252999997,11.051787600008538,11.143357499997364,11.143357499997364,11.143357499997364,11.69503140001325,0,,,1,[0.5748117000039201],[0.5748159000067972],,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,instructions//slide9.png,,,,,,,,,2,0,2,0,0,0,0,0,11.943249100004323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.820545499998843,11.821042700001271,11.826346100016963,11.943249100004323,11.943249100004323,11.943249100004323,13.511263099993812,0,,,1,[1.5933019000221975],[1.593311000004178],,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,instructions//slide10.png,,,,,,,,,3,0,3,0,0,0,0,0,13.743345599999884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.615755500009982,13.616185499995481,13.620445300010033,13.743345599999884,13.743345599999884,13.743345599999884,14.144420900003752,0,,,1,[0.42250139999669045],[0.4225121999916155],,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,instructions//slide11.png,,,,,,,,,4,0,4,0,0,0,0,0,14.432771399995545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.338836400012951,14.339397700008703,14.344144000002416,14.432771399995545,14.432771399995545,14.432771399995545,14.950238599994918,0,,,1,[0.5381073000025935],[0.5381117000069935],,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h52.42.607,pilotv2,2023.2.3,59.80850512881237,2023-11-06 22h52.47.887930 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.069443500018679,15.069902300019749,,,,,,,,,,,,,,,,,,,
