category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,correctButton,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021978500008117408,0.022386800032109022,0.02276949997758493,0.03778050001710653,0.03778050001710653,0.5068245999864303,['5'],[0.4552860000403598],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h46.38.678,pilotv2,2023.2.3,60.449368524392355,2023-11-08 17h46.45.960981 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,0,0,0,0,1.7225048000109382,,,,,,,,,,,0.5142477999906987,0.522286300023552,1.7225048000109382,1.5068653000053018,1.5073082000017166,1.7225048000109382,1.7225048000109382,1.9727522000321187,1.9727522000321187,1.956282300001476,1.9562958999886177,1.9727522000321187,2.3392648000153713,2.206745499977842,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h46.38.678,pilotv2,2023.2.3,60.449368524392355,2023-11-08 17h46.45.960981 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,1,0,1,0,2.3392648000153713,,,,,,,,,,,,,,,2.2070648000226356,2.3392648000153713,2.3392648000153713,2.5895101000205614,2.5895101000205614,2.573542600031942,2.5735667999833822,2.5895101000205614,3.0067813000059687,2.8237542000133544,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h46.38.678,pilotv2,2023.2.3,60.449368524392355,2023-11-08 17h46.45.960981 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,2,0,2,0,3.0067813000059687,,,,,,,,,,,,,,,2.8241710999864154,3.0067813000059687,3.0067813000059687,3.257113100029528,3.257113100029528,3.2411942000035197,3.241207499988377,3.257113100029528,3.5738343999837525,3.490948099992238,,,,,,,,,,,,,,,,,12,0,2023-11-08_17h46.38.678,pilotv2,2023.2.3,60.449368524392355,2023-11-08 17h46.45.960981 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.516266099992208,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,3.5738343999837525,,,,,,,,
