category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trialstest.thisRepN,trialstest.thisTrialN,trialstest.thisN,trialstest.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,ITI.started,fixCrossR.started,fixCrossR.stopped,ITI.stopped,accCheck.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25552629999583587,0.2708758999942802,0.2708758999942802,2.8911854999896605,['5'],[2.6127000999986194],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_06h24.38.219,pilotv1,2023.2.3,59.999627995981406,2023-11-06 06h24.53.898510 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,0,0,0,0,4.219634100008989,,,,,,,,,2.971536900004139,2.9864057000086177,3.903836000012234,3.9424034999974538,4.219634100008989,4.219634100008989,4.469905800011475,4.469905800011475,4.4540095000120346,4.454028500011191,4.469905800011475,4.8567683000001125,4.703882800007705,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_06h24.38.219,pilotv1,2023.2.3,59.999627995981406,2023-11-06 06h24.53.898510 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,1,0,1,0,4.8567683000001125,,,,,,,,,,,,4.704422300012084,4.8567683000001125,4.8567683000001125,5.105872499989346,5.105872499989346,5.091563199996017,5.091582900000503,5.105872499989346,5.60296630000812,5.3396314999845345,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_06h24.38.219,pilotv1,2023.2.3,59.999627995981406,2023-11-06 06h24.53.898510 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,2,0,2,0,5.60296630000812,,,,,,,,,,,,5.340003599994816,5.60296630000812,5.60296630000812,5.853117199992994,5.853117199992994,5.837290900002699,5.837319899990689,5.853117199992994,6.153217099985341,6.086935300001642,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_06h24.38.219,pilotv1,2023.2.3,59.999627995981406,2023-11-06 06h24.53.898510 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.087046500004362,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,6.153217099985341,9.089886300003855,2,1.2179752000083681,None,9.129945099994075,9.136383000004571,,11.70362089999253,11.703656099998625,,,,,,,,
