category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
auto,1,1,stim//auto1.png,0,8,8,8,2,0,2,0,13.235895400000118,None,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
auto,1,1,stim//auto1.png,0,8,8,8,,,,,,,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
auto,1,0,stim//auto1.png,0,9,9,9,0,0,0,0,13.469401399999697,None,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
auto,1,0,stim//auto1.png,0,9,9,9,1,0,1,0,13.735952299999553,None,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
auto,1,0,stim//auto1.png,0,9,9,9,2,0,2,0,13.986151699999937,None,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
auto,1,0,stim//auto1.png,0,9,9,9,,,,,,,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
auto,2,1,stim//auto2.png,0,10,10,10,0,0,0,0,14.25340369999958,None,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
auto,2,1,stim//auto2.png,0,10,10,10,1,0,1,0,14.50354359999983,None,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
auto,2,1,stim//auto2.png,0,10,10,10,2,0,2,0,14.753556900000149,None,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
auto,2,1,stim//auto2.png,0,10,10,10,,,,,,,1,001,2023-10-11_14h37.20.496,untitled,2022.1.4,59.85189051152757,
