2.3659 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
11.4842 	EXP 	window1: mouseVisible = True
11.4843 	EXP 	window1: mouseVisible = True
11.4880 	EXP 	Created image_18 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj2.png', interpolate=True, mask=None, maskParams=None, name='image_18', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
11.4882 	EXP 	window1: mouseVisible = True
11.4922 	EXP 	Created text_10 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_10', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.4924 	EXP 	window1: mouseVisible = True
11.4925 	EXP 	window1: mouseVisible = True
11.4930 	EXP 	window1: mouseVisible = True
11.4933 	EXP 	window1: mouseVisible = True
11.4972 	EXP 	window1: mouseVisible = True
11.4973 	EXP 	window1: mouseVisible = True
11.4977 	EXP 	window1: mouseVisible = True
11.4981 	EXP 	window1: mouseVisible = True
11.5013 	EXP 	window1: mouseVisible = True
11.5015 	EXP 	window1: mouseVisible = True
11.5016 	EXP 	window1: mouseVisible = True
11.5020 	EXP 	window1: mouseVisible = True
11.5024 	EXP 	window1: mouseVisible = True
11.5062 	EXP 	window1: mouseVisible = True
11.5063 	EXP 	window1: mouseVisible = True
11.5068 	EXP 	window1: mouseVisible = True
11.5072 	EXP 	window1: mouseVisible = True
11.5109 	EXP 	window1: mouseVisible = True
11.5110 	EXP 	window1: mouseVisible = True
11.5149 	EXP 	Created image_19 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori2.png', interpolate=True, mask=None, maskParams=None, name='image_19', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
11.5151 	EXP 	window1: mouseVisible = True
11.5191 	EXP 	Created text_11 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_11', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.5193 	EXP 	window1: mouseVisible = True
11.5195 	EXP 	window1: mouseVisible = True
11.5199 	EXP 	window1: mouseVisible = True
11.5202 	EXP 	window1: mouseVisible = True
11.5240 	EXP 	window1: mouseVisible = True
11.5242 	EXP 	window1: mouseVisible = True
11.5246 	EXP 	window1: mouseVisible = True
11.5249 	EXP 	window1: mouseVisible = True
11.5283 	EXP 	window1: mouseVisible = True
11.5285 	EXP 	window1: mouseVisible = True
11.5286 	EXP 	window1: mouseVisible = True
11.5290 	EXP 	window1: mouseVisible = True
