category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,correctButton,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015520600019954145,0.01598060003016144,0.01635109999915585,0.03269310004543513,0.03269310004543513,0.6666889000334777,['5'],[0.6238263000268489],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,0,0,0,0,1.8842157000326551,,,,,,,,,,,0.6731660999939777,0.6826775000081398,1.8842157000326551,1.6674100999953225,1.6679595000459813,1.8842157000326551,1.8842157000326551,2.1340701000299305,2.1340701000299305,2.118182300007902,2.118214500020258,2.1340701000299305,2.4874094999977387,2.368291800026782,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,1,0,1,0,2.4874094999977387,,,,,,,,,,,,,,,2.368840500013903,2.4874094999977387,2.4874094999977387,2.7346771000302397,2.7346771000302397,2.71983190003084,2.719853000016883,2.7346771000302397,3.151497200015001,2.968783100019209,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,2,0,2,0,3.151497200015001,,,,,,,,,,,,,,,2.969272500020452,3.151497200015001,3.151497200015001,3.401867000036873,3.401867000036873,3.3858541999943554,3.3858852999983355,3.401867000036873,3.7188039000029676,3.6361516000470147,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
shoe,4,stim//ori2.png,stim//shoe4.png,Half Right,Half Left,Full Left,Full Right,Turtle,Horse,Shoe,Car,False,4,2.476,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6664477000012994,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,3.7188039000029676,7.6066738000372425,3,0.8816517000086606,None,None,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,0,0,0,0,8.722705500025768,,,,,,,,,,,7.6079991000005975,7.621956699993461,8.722705500025768,8.60687020001933,8.607309600047302,8.722705500025768,8.722705500025768,8.973079500021413,8.973079500021413,8.957185100007337,8.95720970002003,8.973079500021413,9.339969700027723,9.207435300049838,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,1,0,1,0,9.339969700027723,,,,,,,,,,,,,,,9.207979600003455,9.339969700027723,9.339969700027723,9.590285200043581,9.590285200043581,9.574382600025274,9.574414000031538,9.590285200043581,10.007169599994086,9.824314000026789,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,2,0,2,0,10.007169599994086,,,,,,,,,,,,,,,9.824772700027097,10.007169599994086,10.007169599994086,10.257588600041345,10.257588600041345,10.241626900038682,10.241640600026585,10.257588600041345,10.541080599999987,10.49174349999521,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
turtle,4,stim//obj2.png,stim//turtle4.png,Turtle,Car,Horse,Shoe,Full Left,Half Right,Full Right,Half Left,True,1,2.499,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.511376100010239,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,10.541080599999987,13.82847710000351,2,0.26769579999381676,None,None,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
turtle,3,stim//ori1.png,stim//turtle3.png,Full Left,Full Right,Half Left,Half Right,Car,Shoe,Turtle,Horse,False,4,2.49,,,,,0,2,2,2,0,0,0,0,14.94490910001332,,,,,,,,,,,13.829651200037915,13.84379730001092,14.94490910001332,14.828631000011228,14.829134800005704,14.94490910001332,14.94490910001332,15.194895300024655,15.194895300024655,15.178980900032911,15.178995500027668,15.194895300024655,15.562063999997918,15.428909000009298,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h11.12.323,pilotv2,2023.2.3,59.84465523845548,2023-11-08 18h11.23.288303 +0100,
