category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trialstest.thisRepN,trialstest.thisTrialN,trialstest.thisN,trialstest.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,testcancel.thisRepN,testcancel.thisTrialN,testcancel.thisN,testcancel.thisIndex,thisRow.t,notes,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,accCheck.started,text_18.started,text_19.started,accCheck.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012671800010139123,0.02984820000710897,0.02984820000710897,1.9993845999997575,['5'],[1.9605207999993581],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,0,0,0,0,,,,,3.162632499996107,,,,,,,,,2.0363552999915555,2.045543299987912,3.0132070999825373,3.014070899982471,3.162632499996107,3.162632499996107,3.4124286999867763,3.4124286999867763,3.396823499992024,3.3968543999944814,3.4124286999867763,3.7640555999823846,3.646329799987143,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,1,0,1,0,,,,,3.7640555999823846,,,,,,,,,,,,3.646580400003586,3.7640555999823846,3.7640555999823846,4.015109900006792,4.015109900006792,4.000925300002564,4.0009540999890305,4.015109900006792,4.445677599986084,4.249683700007154,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,2,0,2,0,,,,,4.445677599986084,,,,,,,,,,,,4.249937999993563,4.445677599986084,4.445677599986084,4.695642999984557,4.695642999984557,4.679486899985932,4.679501100006746,4.695642999984557,4.9791876999952365,4.929535700008273,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.929614099994069,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,4.9791876999952365,7.945996700000251,2,0.882589699991513,None,7.947405999992043,7.962299300008453,7.962299300008453,8.94573649999802,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,0,0,0,0,,,,,10.065129700000398,,,,,,,,,8.9462271000084,8.962369199987734,9.945865199988475,9.946368300006725,10.065129700000398,10.065129700000398,10.314797600003658,10.314797600003658,10.300648200005526,10.300677399995038,10.314797600003658,10.665694399998756,10.549065700004576,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,1,0,1,0,,,,,10.665694399998756,,,,,,,,,,,,10.549585700005991,10.665694399998756,10.665694399998756,10.914986299991142,10.914986299991142,10.9004195999878,10.900448600004893,10.914986299991142,11.33221200000844,11.148678300000029,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,2,0,2,0,,,,,11.33221200000844,,,,,,,,,,,,11.1489282999828,11.33221200000844,11.33221200000844,11.58160959999077,11.58160959999077,11.567253299988806,11.567283199983649,11.58160959999077,11.845806099998299,11.815526899998076,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.81568490000791,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,11.845806099998299,14.829001699981745,4,2.4032506000075955,None,14.8302537999989,14.845724199985852,14.845724199985852,15.829161800007569,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,,,,,0,2,2,2,0,0,0,0,,,,,16.9455733000068,,,,,,,,,15.829420499998378,15.84565790000488,16.829031700006453,16.829719900008058,16.9455733000068,16.9455733000068,17.195676900009857,17.195676900009857,17.179688999982318,17.17971850000322,17.195676900009857,17.545606300001964,17.429530599998543,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_15h53.16.987,pilotv1,2023.2.3,59.890711430781494,2023-11-06 15h53.28.066257 +0100,
