InstructionsFilepath,Instructions2Filepath,category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,instructions2_controller.thisRepN,instructions2_controller.thisTrialN,instructions2_controller.thisN,instructions2_controller.thisIndex,instruction2_slide_loop.thisRepN,instruction2_slide_loop.thisTrialN,instruction2_slide_loop.thisN,instruction2_slide_loop.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,instruction2prep.started,instruction2prep.stopped,Instructions2.started,imageInstruct_2.started,buttonNext_2.started,buttonBack_2.started,Instructions2.stopped,buttonNext_2.numClicks,buttonNext_2.timesOn,buttonNext_2.timesOff,buttonBack_2.numClicks,buttonBack_2.timesOn,buttonBack_2.timesOff,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,babyStim.started,babyStim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide6.png,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,1.787099200009834,,,,1.6939310999587178,1.6943550999858417,1.6984377999906428,1.787099200009834,1.787099200009834,1.787099200009834,1.8053533000056632,1,[0.036670500005129725],[0.03668099996866658],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,1.9376646999735385,,,,1.8477844999870285,1.8483725999831222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
,instructions//slide7.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,3.906499899982009,,,,,,,,,,,,,,,,,1.9204500999767333,1.9376646999735385,1.9376646999735385,1.9376646999735385,1.9376646999735385,2.572673999995459,0,,,1,[0.6502988999709487],[0.6503039000090212],2.5732150999829173,2.5881428999709897,2.5881428999709897,2.5881428999709897,2.5881428999709897,2.9227324000094086,1,[0.34800019999966025],[0.34800519997952506],0,,,2.9232581999967806,2.938581599970348,2.938581599970348,2.938581599970348,2.938581599970348,3.2397781999898143,0,,,1,[0.3150199999799952],[0.31502919999184087],3.2403005000087433,3.2552074999548495,3.2552074999548495,3.2552074999548495,3.2552074999548495,3.806939299975056,1,[0.5651100999675691],[0.5651164999580942],0,,,3.815949199954048,3.816598300007172,3.8205005999770947,3.906499899982009,3.906499899982009,3.906499899982009,4.458247600006871,1,[0.5702935999725014],[0.5702987000113353],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
,instructions//slide8.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,4.639569999999367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.547588999965228,4.548005799995735,4.552276299975347,4.639569999999367,4.639569999999367,4.639569999999367,4.7574559999629855,1,[0.13615370000479743],[0.13616420002654195],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
,instructions//slide9.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,4.959262999997009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.847760699980427,4.848156999971252,4.851966399990488,4.959262999997009,4.959262999997009,4.959262999997009,5.024513299984392,1,[0.08129360002931207],[0.08129840000765398],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
,instructions//slide10.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,5.294148899964057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.183058399998117,5.183464100002311,5.187323499994818,5.294148899964057,5.294148899964057,5.294148899964057,5.3246642999583855,1,[0.04491820000112057],[0.044922899978701025],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h13.55.739,pilotv2,2023.2.3,59.62901213158018,2023-11-08 15h14.07.630121 +0100,
