InstructionsFilepath,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,thisRow.t,notes,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide1.png,0,0,0,0,0,0,0,0,0.12182949998532422,,0.01874820000375621,0.019060499995248392,0.023875299986684695,0.12182949998532422,0.12182949998532422,0.12182949998532422,2.7601698999933433,1,[2.6671059000073],[2.667111999995541],0,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
instructions//slide2.png,1,0,1,0,0,0,0,0,2.8881326999980956,,2.794320199987851,2.7947980999888387,2.799321800004691,2.8881326999980956,2.8881326999980956,2.8881326999980956,3.2894330999988597,1,[0.4205019000219181],[0.42050609999569133],0,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
instructions//slide3.png,2,0,2,0,0,0,0,0,3.459706499997992,,3.3404822000011336,3.3409579999861307,3.3458677000016905,3.459706499997992,3.459706499997992,3.459706499997992,4.199164799996652,1,[0.7599037000036333],[0.7599156000069343],0,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
instructions//slide4.png,3,0,3,0,0,0,0,0,4.365589599998202,,4.2436129999987315,4.2440608000033535,4.248376999981701,4.365589599998202,4.365589599998202,4.365589599998202,5.314043399994262,1,[0.9691932999994606],[0.9692021999799181],0,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
instructions//slide5.png,4,0,4,0,0,0,0,0,5.467098799999803,,5.371899599995231,5.372303699987242,5.37732979998691,5.467098799999803,5.467098799999803,5.467098799999803,6.139593800005969,1,[0.6933589999971446],[0.6933680000074673],0,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
instructions//slide6.png,5,0,5,0,0,0,0,0,6.288353099982487,,6.192944499984151,6.193382299999939,6.197689299995545,6.288353099982487,6.288353099982487,6.288353099982487,7.074073399999179,1,[0.8070273000048473],[0.8070366999891121],0,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,2023-11-06_22h35.28.201,pilotv2,2023.2.3,59.738833766880845,2023-11-06 22h35.33.690338 +0100,
,,,,,,,,,,,7.128498399979435,7.1290701999969315,,,,,,,,,,,,,,,,,,,
