category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,text.started,text.stopped,image.started,image.stopped,fixCrossR_2.started,fixCrossR_2.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,cat.started,cat.stopped,auto.started,auto.stopped,turtle.started,turtle.stopped,hand.started,hand.stopped,farleft.started,farleft.stopped,farright.started,farright.stopped,nearleft.started,nearleft.stopped,nearright.started,nearright.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,1,1,stim//cat1.png,0,0,0,0,0,0,0,0,10.067810399999871,None,11.268922000000202,None,11.268922000000202,None,11.318849399999635,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h21.48.054,untitled,2022.1.4,59.76625417991496,
cat,1,1,stim//cat1.png,0,0,0,0,1,0,1,0,,,11.669161200000417,None,11.669161200000417,None,11.819085899999664,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h21.48.054,untitled,2022.1.4,59.76625417991496,
cat,1,1,stim//cat1.png,0,0,0,0,2,0,2,0,,,12.170468000000255,None,12.170468000000255,None,12.319923400000334,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h21.48.054,untitled,2022.1.4,59.76625417991496,
cat,1,1,stim//cat1.png,0,0,0,0,,,,,,,,,,,,,12.569406100000379,None,12.569406100000379,None,12.569406100000379,None,12.569406100000379,None,12.569406100000379,None,12.569406100000379,None,12.569406100000379,None,12.569406100000379,None,12.569406100000379,None,,001,2023-10-11_15h21.48.054,untitled,2022.1.4,59.76625417991496,
cat,1,0,stim//cat1.png,0,1,1,1,0,0,0,0,,,15.672987699999794,None,15.672987699999794,None,15.823417800000243,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h21.48.054,untitled,2022.1.4,59.76625417991496,
