InstructionsFilepath,Instructions2Filepath,category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,correctButton,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,instructions2_controller.thisRepN,instructions2_controller.thisTrialN,instructions2_controller.thisN,instructions2_controller.thisIndex,instruction2_slide_loop.thisRepN,instruction2_slide_loop.thisTrialN,instruction2_slide_loop.thisN,instruction2_slide_loop.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,instruction2prep.started,instruction2prep.stopped,Instructions2.started,imageInstruct_2.started,buttonNext_2.started,buttonBack_2.started,Instructions2.stopped,buttonNext_2.numClicks,buttonNext_2.timesOn,buttonNext_2.timesOff,buttonBack_2.numClicks,buttonBack_2.timesOn,buttonBack_2.timesOff,IntroBaby.started,key_resp_14.started,text_17.started,IntroBaby.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,trainingIntro.started,text_20.started,key_resp_15.started,trainingIntro.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide6.png,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1.808723900001496,,,,1.6947443000390194,1.6952106000389904,1.69998089998262,1.808723900001496,1.808723900001496,1.808723900001496,1.8099904999835417,1,[0.02018530003260821],[0.02019450004445389],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,1.975660500000231,,,,1.8577456999919377,1.858225800038781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
,instructions//slide7.png,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,4.277553600026295,,,,,,,,,,,,,,,,,1.9550328000332229,1.975660500000231,1.975660500000231,1.975660500000231,1.975660500000231,2.5279220000375062,0,,,1,[0.5700222000014037],[0.5700318000162952],2.5284479000256397,2.5427933000028133,2.5427933000028133,2.5427933000028133,2.5427933000028133,2.894979700038675,1,[0.364966299966909],[0.3649705999996513],0,,,2.8955226999823935,2.9101378000341356,2.9101378000341356,2.9101378000341356,2.9101378000341356,3.778712800005451,0,,,1,[0.8814880000427365],[0.8814921000157483],3.7792398000019602,3.793944700038992,3.793944700038992,3.793944700038992,3.793944700038992,4.146056800032966,1,[0.36484549997840077],[0.3648553999955766],0,,,4.155172300001141,4.155606199987233,4.1789939000154845,4.277553600026295,4.277553600026295,4.277553600026295,4.779396700032521,1,[0.5306732999742962],[0.5306821999838576],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
,instructions//slide8.png,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,4.978282099997159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.881626199989114,4.882071200001519,4.885941900021862,4.978282099997159,4.978282099997159,4.978282099997159,5.079456300009042,1,[0.12328669999260455],[0.12329080002382398],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
,instructions//slide9.png,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,5.282597700017504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.171449700021185,5.171886200027075,5.175954200036358,5.282597700017504,5.282597700017504,5.282597700017504,5.546614799997769,1,[0.27877420000731945],[0.27878610003972426],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
,instructions//slide10.png,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,,,,,5.765361200028565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.643442900036462,5.643930700025521,5.647943200019654,5.765361200028565,5.765361200028565,5.765361200028565,5.812890500004869,1,[0.06264090002514422],[0.06264499999815598],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h53.23.574,pilotv2,2023.2.3,60.31410380829184,2023-11-08 18h53.39.881368 +0100,
