category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trialstest.thisRepN,trialstest.thisTrialN,trialstest.thisN,trialstest.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,testcancel.thisRepN,testcancel.thisTrialN,testcancel.thisN,testcancel.thisIndex,thisRow.t,notes,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,accCheck.started,text_18.started,text_19.started,accCheck.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02556080001522787,0.04085499999928288,0.04085499999928288,1.125394500006223,['5'],[1.0682783999945968],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,0,0,0,0,,,,,2.407649200002197,,,,,,,,,1.1629078999976628,1.1742709999962244,2.1415826000156812,2.1423582000134047,2.407649200002197,2.407649200002197,2.6573871000146028,2.6573871000146028,2.641700900014257,2.6417204000172205,2.6573871000146028,3.0407085999904666,2.8916311000066344,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,1,0,1,0,,,,,3.0407085999904666,,,,,,,,,,,,2.8919837000139523,3.0407085999904666,3.0407085999904666,3.2908623999974225,3.2908623999974225,3.2750331000133883,3.275057699996978,3.2908623999974225,3.674163399991812,3.524863099999493,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,2,0,2,0,,,,,3.674163399991812,,,,,,,,,,,,3.5253804000094533,3.674163399991812,3.674163399991812,3.9240866000181995,3.9240866000181995,3.9082114000048023,3.908230700006243,3.9240866000181995,4.224013200000627,4.15837650001049,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1585365000064485,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,4.224013200000627,7.175110100011807,2,0.6643653999781236,None,7.177783399994951,7.191875299991807,7.191875299991807,8.16092789999675,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,0,0,0,0,,,,,9.341331100004027,,,,,,,,,8.161354999989271,8.191274600016186,9.174717000016244,9.175419000006514,9.341331100004027,9.341331100004027,9.590724400011823,9.590724400011823,9.574866700015264,9.574886499991408,9.590724400011823,9.973953700013226,9.824881900014589,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,1,0,1,0,,,,,9.973953700013226,,,,,,,,,,,,9.825309500010917,9.973953700013226,9.973953700013226,10.224141000013333,10.224141000013333,10.207959199993638,10.207988600013778,10.224141000013333,10.69280630000867,10.458207699994091,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,2,0,2,0,,,,,10.69280630000867,,,,,,,,,,,,10.458581899991259,10.69280630000867,10.69280630000867,10.943400399992242,10.943400399992242,10.929151299991645,10.929179500002647,10.943400399992242,11.22399040000164,11.177268700004788,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.177377100015292,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,11.22399040000164,14.191013100004056,1,1.4351577000052202,None,14.193212100013625,14.207245800003875,14.207245800003875,15.190932400000747,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,,,,,0,2,2,2,0,0,0,0,,,,,16.35722080001142,,,,,,,,,15.19148470001528,15.20731570001226,16.1909852999961,16.192261899996083,16.35722080001142,16.35722080001142,16.607351899991045,16.607351899991045,16.591066900000442,16.591094500006875,16.607351899991045,16.990534200012917,16.841391800000565,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,,,,,0,2,2,2,1,0,1,0,,,,,16.990534200012917,,,,,,,,,,,,16.8419384000008,16.990534200012917,16.990534200012917,17.240624800004298,17.240624800004298,17.224443400016753,17.224472700007027,17.240624800004298,17.71030599999358,17.474897100008093,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,,,,,0,2,2,2,2,0,2,0,,,,,17.71030599999358,,,,,,,,,,,,17.475467300013406,17.71030599999358,17.71030599999358,17.959970399999293,17.959970399999293,17.945682199992007,17.945700900017982,17.959970399999293,18.240529800008517,18.193861500010826,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.193966999999247,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,18.240529800008517,21.207363699999405,1,2.088722099986626,None,21.20936820001225,21.22395260000485,21.22395260000485,22.207608099997742,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
turtle,1,stim//obj1.png,stim//turtle1.png,full left,full right,slight left,slight right,shoe,turtle,horse,car,False,2.629,,,,,0,3,3,3,0,0,0,0,,,,,23.374001099989982,,,,,,,,,22.208274100004928,22.223901799996383,23.207354100013617,23.20809790000203,23.374001099989982,23.374001099989982,23.62392089999048,23.62392089999048,23.607682200003183,23.60770710001816,23.62392089999048,24.007360699994024,23.857791000016732,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
turtle,1,stim//obj1.png,stim//turtle1.png,full left,full right,slight left,slight right,shoe,turtle,horse,car,False,2.629,,,,,0,3,3,3,1,0,1,0,,,,,24.007360699994024,,,,,,,,,,,,23.85826090001501,24.007360699994024,24.007360699994024,24.257072300009895,24.257072300009895,24.241354800004046,24.241391000017757,24.257072300009895,24.740534300013678,24.490959799994016,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
turtle,1,stim//obj1.png,stim//turtle1.png,full left,full right,slight left,slight right,shoe,turtle,horse,car,False,2.629,,,,,0,3,3,3,2,0,2,0,,,,,24.740534300013678,,,,,,,,,,,,24.491403599997284,24.740534300013678,24.740534300013678,24.990649999992456,24.990649999992456,24.974263500014786,24.97428240001318,24.990649999992456,25.274130700010573,25.224551399995107,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
turtle,1,stim//obj1.png,stim//turtle1.png,full left,full right,slight left,slight right,shoe,turtle,horse,car,False,2.629,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.224671900010435,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,25.274130700010573,28.240428399993107,2,1.5561707000015303,None,28.242801300017163,28.257347900012974,28.257347900012974,29.24055230000522,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
car,2,stim//obj1.png,stim//car2.png,car,shoe,horse,turtle,slight left,full right,full left,slight right,True,2.548,,,,,0,4,4,4,0,0,0,0,,,,,30.393879900017055,,,,,,,,,29.24108669999987,29.256974499992793,30.24078130000271,30.241878100001486,30.393879900017055,30.393879900017055,30.643061100010527,30.643061100010527,30.628864900005283,30.628896200010786,30.643061100010527,31.040450900007272,30.877238399989437,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h56.27.749,pilotv1,2023.2.3,59.989657784559924,2023-11-06 07h56.40.291860 +0100,
