category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trialstest.thisRepN,trialstest.thisTrialN,trialstest.thisN,trialstest.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,testcancel.thisRepN,testcancel.thisTrialN,testcancel.thisN,testcancel.thisIndex,thisRow.t,notes,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,accCheck.started,text_18.started,text_19.started,accCheck.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03435689999605529,0.04894370000693016,0.04894370000693016,1.5361968000070192,['5'],[1.4709452000097372],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,0,0,0,0,,,,,2.7479567999835126,,,,,,,,,1.5752980999823194,1.584799700009171,2.5517298000049777,2.552751699986402,2.7479567999835126,2.7479567999835126,2.998205699987011,2.998205699987011,2.9827493999910075,2.9827799999911804,2.998205699987011,3.3830595999897923,3.2322609999973793,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,1,0,1,0,,,,,3.3830595999897923,,,,,,,,,,,,3.232804400002351,3.3830595999897923,3.3830595999897923,3.634211399999913,3.634211399999913,3.6199805999931414,3.620010299986461,3.634211399999913,4.114707700005965,3.868146799999522,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,2,0,2,0,,,,,4.114707700005965,,,,,,,,,,,,3.868667999980971,4.114707700005965,4.114707700005965,4.364601199980825,4.364601199980825,4.348719400004484,4.348738900007447,4.364601199980825,4.6648175999871455,4.5986064999888185,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.598766099981731,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,4.6648175999871455,7.614765200007241,2,0.6483344000007492,None,7.617964899982326,7.631363599997712,7.631363599997712,8.61494619998848,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,0,0,0,0,,,,,9.764698799990583,,,,,,,,,8.615560100006405,8.631317799998214,9.614770999993198,9.61585129998275,9.764698799990583,9.764698799990583,10.014605799980927,10.014605799980927,9.999123999994481,9.999146799993468,10.014605799980927,10.398102799983462,10.248597400001017,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,1,0,1,0,,,,,10.398102799983462,,,,,,,,,,,,10.249142599990591,10.398102799983462,10.398102799983462,10.647911999985809,10.647911999985809,10.632007499982137,10.63203199999407,10.647911999985809,11.131479800009402,10.882209600007627,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,2,0,2,0,,,,,11.131479800009402,,,,,,,,,,,,10.882640800002264,11.131479800009402,11.131479800009402,11.381146700005047,11.381146700005047,11.365449200005969,11.365478599997004,11.381146700005047,11.665261299989652,11.615430500009097,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,,,,,0,2,2,2,0,0,0,0,,,,,15.78107500000624,,,,,,,,,14.633249400008935,14.647880200005602,15.632018999982392,15.633101399987936,15.78107500000624,15.78107500000624,16.031270200008294,16.031270200008294,16.015367399988463,16.015392000001157,16.031270200008294,16.416319999989355,16.265474299987545,11.615586500003701,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,11.665261299989652,14.631259099987801,None,,,14.633053900004597,,,,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,,,,,0,2,2,2,1,0,1,0,,,,,16.416319999989355,,,,,,,,,,,,16.265924200008158,16.416319999989355,16.416319999989355,16.667149599990807,16.667149599990807,16.652876200008905,16.652906000002986,16.667149599990807,17.148029200005112,16.90135339999688,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h54.11.613,pilotv1,2023.2.3,59.99235697488788,2023-11-06 07h54.51.594376 +0100,
