InstructionsFilepath,Instructions2Filepath,category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,instructions2_controller.thisRepN,instructions2_controller.thisTrialN,instructions2_controller.thisN,instructions2_controller.thisIndex,instruction2_slide_loop.thisRepN,instruction2_slide_loop.thisTrialN,instruction2_slide_loop.thisN,instruction2_slide_loop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,instruction2prep.started,instruction2prep.stopped,Instructions2.started,imageInstruct_2.started,buttonNext_2.started,buttonBack_2.started,Instructions2.stopped,buttonNext_2.numClicks,buttonNext_2.timesOn,buttonNext_2.timesOff,buttonBack_2.numClicks,buttonBack_2.timesOn,buttonBack_2.timesOff,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,ITI.started,fixCrossR.started,fixCrossR.stopped,ITI.stopped,codeAcc.started,codeAcc.stopped,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide6.png,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,16.047510000003967,,,,15.92410360003123,15.924430900020525,15.928287999995518,16.047510000003967,16.047510000003967,16.047510000003967,17.967573100002483,1,[1.9352709000231698],[1.9352792000281624],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,18.11629420000827,,,,18.013156200002413,18.013474000035785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
,instructions//slide7.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,21.66929600003641,,,,,,,,,,,,,,,,,18.08744030003436,18.11629420000827,18.11629420000827,18.11629420000827,18.11629420000827,19.55219160002889,0,,,1,[1.4630604999838397],[1.4630647000158206],19.552706800051965,19.567293700005393,19.567293700005393,19.567293700005393,19.567293700005393,20.369181800051592,1,[0.8150403999607079],[0.8150445999926887],0,,,20.369702099997085,20.384399600035977,20.384399600035977,20.384399600035977,20.384399600035977,21.038001900014933,0,,,1,[0.6667542000068352],[0.6667586000403389],21.03852190001635,21.053257400053553,21.053257400053553,21.053257400053553,21.053257400053553,21.538293300021905,1,[0.49813770002219826],[0.4981432000058703],0,,,21.547340400051326,21.547565500019118,21.559568700031377,21.66929600003641,21.66929600003641,21.66929600003641,24.25621860002866,1,[2.612348299997393],[2.6123524999711663],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
,instructions//slide8.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,24.454637800052296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.359565500053577,24.3600093999994,24.364121000049636,24.454637800052296,24.454637800052296,24.454637800052296,37.867476500046905,1,[13.43088220001664],[13.430886099988129],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
,instructions//slide9.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,38.065695800003596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96060500002932,37.960992700012866,37.96492100000614,38.065695800003596,38.065695800003596,38.065695800003596,47.37552900001174,1,[9.326615000027232],[9.326626199996099],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
,instructions//slide10.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,47.5759173000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.472749800013844,47.473214700003155,47.47736780002015,47.5759173000115,47.5759173000115,47.5759173000115,52.7798384000198,1,[5.218714600021485],[5.2187262999941595],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,0,2023-11-07_10h30.57.157,pilotv2,2023.2.3,60.26626844115771,2023-11-07 10h31.07.102068 +0100,
