category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,text.started,text.stopped,image.started,image.stopped,fixCrossR_2.started,fixCrossR_2.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,cat.started,cat.stopped,turtle.started,turtle.stopped,auto.started,auto.stopped,hand.started,hand.stopped,farleft.started,farleft.stopped,farright.started,farright.stopped,nearleft.started,nearleft.stopped,nearright.started,nearright.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,1,1,stim//cat1.png,0,0,0,0,0,0,0,0,5.840957099999287,None,7.042387100000269,None,7.042387100000269,None,7.108927699999185,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,1,1,stim//cat1.png,0,0,0,0,1,0,1,0,,,7.458993299998838,None,7.458993299998838,None,7.6086978999992425,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,1,1,stim//cat1.png,0,0,0,0,2,0,2,0,,,7.960135600000285,None,7.960135600000285,None,8.110053499998685,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,1,1,stim//cat1.png,0,0,0,0,,,,,,,,,,,,,8.359630699998888,None,8.359630699998888,None,8.359630699998888,None,8.359630699998888,None,8.359630699998888,None,8.359630699998888,None,8.359630699998888,None,8.359630699998888,None,8.359630699998888,None,1,0.8140870000006544,8.359630699998888,None,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,1,0,stim//cat1.png,0,1,1,1,0,0,0,0,,,11.445407399998658,None,11.445407399998658,None,11.595781199999692,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,1,0,stim//cat1.png,0,1,1,1,1,0,1,0,,,11.946031699999367,None,11.946031699999367,None,12.096170900000288,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,1,0,stim//cat1.png,0,1,1,1,2,0,2,0,,,12.4462524999999,None,12.4462524999999,None,12.596218699998644,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,1,0,stim//cat1.png,0,1,1,1,,,,,,,,,,,,,12.846710099998745,None,12.846710099998745,None,12.846710099998745,None,12.846710099998745,None,12.846710099998745,None,12.846710099998745,None,12.846710099998745,None,12.846710099998745,None,12.846710099998745,None,None,,12.846710099998745,None,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,2,1,stim//cat2.png,0,2,2,2,0,0,0,0,,,15.934702399999878,None,15.934702399999878,None,16.09921099999883,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,2,1,stim//cat2.png,0,2,2,2,1,0,1,0,,,16.449642599998697,None,16.449642599998697,None,16.59991649999938,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,2,1,stim//cat2.png,0,2,2,2,2,0,2,0,,,16.935753399999157,None,16.935753399999157,None,17.100334400000065,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,2,1,stim//cat2.png,0,2,2,2,,,,,,,,,,,,,17.350192899999456,None,17.350192899999456,None,17.350192899999456,None,17.350192899999456,None,17.350192899999456,None,17.350192899999456,None,17.350192899999456,None,17.350192899999456,None,17.350192899999456,None,4,0.25565460000143503,17.350192899999456,None,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,2,0,stim//cat2.png,0,3,3,3,0,0,0,0,,,20.45297009999922,None,20.45297009999922,None,20.6030738999998,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,2,0,stim//cat2.png,0,3,3,3,1,0,1,0,,,20.95336859999952,None,20.95336859999952,None,21.103639699998894,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,2,0,stim//cat2.png,0,3,3,3,2,0,2,0,,,21.454106899998806,None,21.454106899998806,None,21.603810799999337,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
cat,2,0,stim//cat2.png,0,3,3,3,,,,,,,,,,,,,21.85422389999985,None,21.85422389999985,None,21.85422389999985,None,21.85422389999985,None,21.85422389999985,None,21.85422389999985,None,21.85422389999985,None,21.85422389999985,None,21.85422389999985,None,8,0.6798678000013751,21.85422389999985,None,,001,2023-10-11_15h45.25.599,untitled,2022.1.4,59.643166861661236,
,,,,,,,,,,,,,,24.957078999999794,None,24.957078999999794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
