category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,fixCrossR_2.started,fixCrossR_2.stopped,image.started,image.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,1,1,stim//cat1.png,0,0,0,0,0,0,0,0,6.865268599999581,None,6.865268599999581,None,6.881387800000084,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,1,1,stim//cat1.png,0,0,0,0,1,0,1,0,7.199961799999983,None,7.199961799999983,None,7.36478360000001,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,1,1,stim//cat1.png,0,0,0,0,2,0,2,0,7.698389399999542,None,7.698389399999542,None,7.865533299999697,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,1,1,stim//cat1.png,0,0,0,0,,,,,,,,,8.115727800000059,None,8.365980900000068,None,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,1,0,stim//cat1.png,0,1,1,1,0,0,0,0,8.699362499999552,None,8.699362499999552,None,8.866421900000205,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,1,0,stim//cat1.png,0,1,1,1,1,0,1,0,9.19997929999954,None,9.19997929999954,None,9.366872800000237,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,1,0,stim//cat1.png,0,1,1,1,2,0,2,0,9.700415700000121,None,9.700415700000121,None,9.86730340000031,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,1,0,stim//cat1.png,0,1,1,1,,,,,,,,,10.117046700000174,None,10.367688700000144,None,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,2,1,stim//cat2.png,0,2,2,2,0,0,0,0,10.700938599999972,None,10.700938599999972,None,10.868011200000183,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,2,1,stim//cat2.png,0,2,2,2,1,0,1,0,11.20161089999965,None,11.20161089999965,None,11.368427299999894,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,2,1,stim//cat2.png,0,2,2,2,2,0,2,0,11.702043299999787,None,11.702043299999787,None,11.868717199999992,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,2,1,stim//cat2.png,0,2,2,2,,,,,,,,,12.119172200000321,None,12.368955099999766,None,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
cat,2,0,stim//cat2.png,0,3,3,3,0,0,0,0,12.702860999999757,None,12.702860999999757,None,12.869917099999839,None,,,,001,2023-10-11_14h41.32.864,untitled,2022.1.4,59.94556942307401,
