category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,welcome.started,welcometext.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions.started,instr_2.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,key_resp_3.started,text_2.started,image_2.started,instr2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,symb1.started,key_resp_4.started,image_3.started,image_4.started,image_5.started,image_6.started,image_22.started,image_23.started,text_3.started,symb1.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,symb2.started,image_7.started,image_8.started,image_9.started,image_10.started,image_11.started,image_12.started,text_4.started,key_resp_6.started,symb2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,memor.started,key_resp_7.started,text_5.started,image_13.started,image_14.started,image_15.started,image_16.started,text_6.started,text_7.started,memor.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,gratz.started,text_12.started,key_resp_8.started,gratz.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,respo1.started,key_resp_9.started,text_13.started,image_25.started,respo1.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,respo2.started,key_resp_10.started,text_14.started,image_24.started,respo2.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,respo3.started,key_resp_11.started,text_15.started,image_21.started,respo3.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,ITI.started,fixCrossR.started,fixCrossR.stopped,ITI.stopped,codeAcc.started,cue.stopped,kb.rt,kb.duration,codeAcc.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.37300690001575,61.38879440000164,61.38879440000164,61.38879440000164,61.38879440000164,61.38879440000164,61.38879440000164,61.38879440000164,61.38879440000164,63.822982799989404,space,2.4305400000012014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.82302630000049,63.8389245000144,63.8389245000144,65.07413769999403,['5'],[1.2189983999996912],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,0,0,0,0,0,0,0,0,66.22221559999161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.11652090001735,65.12367420000373,66.07506070000818,66.07700360001763,66.22221559999161,66.22221559999161,66.4720748999971,66.4720748999971,66.45589929999551,66.45592730000499,66.4720748999971,66.83887800000957,66.70616930001415,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,0,0,0,0,1,0,1,0,66.83887800000957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.70660740000312,66.83887800000957,66.83887800000957,67.08886150000035,67.08886150000035,67.07263340000645,67.0726483000035,67.08886150000035,67.57223980000708,67.32254930000636,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,0,0,0,0,2,0,2,0,67.57223980000708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.32296889999998,67.57223980000708,67.57223980000708,67.82221209999989,67.82221209999989,67.8060853999923,67.80610990000423,67.82221209999989,68.10527130000992,68.05638920000638,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,0,1,1,1,0,0,0,0,74.78829610001412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.65617629999178,73.67212679999648,74.65620570001192,74.65680620001513,74.78829610001412,74.78829610001412,75.03871409999556,75.03871409999556,75.02283679999528,75.02287020001677,75.03871409999556,75.40523699999903,75.27576879999833,68.05673209999804,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,68.10527130000992,71.07242129999213,None,71.07474509999156,71.08867190001183,73.67212679999648,73.65575510001509,73.65578259999165,74.78829610001412,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,0,1,1,1,1,0,1,0,75.40523699999903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.27602230000775,75.40523699999903,75.40523699999903,75.65521570001147,75.65521570001147,75.63908839999931,75.63910269999178,75.65521570001147,76.07480339999893,75.88907850001124,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,0,1,1,1,2,0,2,0,76.07480339999893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.88962570001604,76.07480339999893,76.07480339999893,76.32452130000456,76.32452130000456,76.31018410000252,76.31021799999871,76.32452130000456,76.58850650000386,76.55866109998897,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.55877800000599,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,76.58850650000386,79.57233699999051,4,79.5735577000014,79.58871400001226,82.37195150001207,82.35601690001204,82.35603580001043,,1.1888366999919526,None,82.35630539999693,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,0,2,2,2,0,0,0,0,83.48866360000102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3565579999995,82.37195150001207,83.35597460001009,83.3564527000126,83.48866360000102,83.48866360000102,83.73845239999355,83.73845239999355,83.72247420001077,83.72250269999495,83.73845239999355,84.10504970001057,83.97224999999162,,,,,,,,,,,,,,,,,,,,,,,83.48866360000102,,,,,001,2023-11-06_17h03.00.658,pilotv1,2023.2.3,59.644945558630155,2023-11-06 17h04.00.197390 +0100,
