category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trialstest.thisRepN,trialstest.thisTrialN,trialstest.thisN,trialstest.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,ITI.started,fixCrossR.started,fixCrossR.stopped,ITI.stopped,accCheck.started,accCheck.stopped,cue.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03570050001144409,0.05009040000732057,0.05009040000732057,1.5850576999946497,['5'],[1.5313109999988228],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,0,0,0,0,2.800338600005489,,,,,,,,,1.6216312999895308,1.6334213000081945,2.600827499991283,2.6016119999985676,2.800338600005489,2.800338600005489,3.0502384999999776,3.0502384999999776,3.034455599990906,3.0344902999931946,3.0502384999999776,3.4502213000087067,3.284461100003682,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,1,0,1,0,3.4502213000087067,,,,,,,,,,,,3.284924500010675,3.4502213000087067,3.4502213000087067,3.700275400013197,3.700275400013197,3.684244000003673,3.684264300012728,3.700275400013197,4.183924800017849,3.9342836000141688,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,2,0,2,0,4.183924800017849,,,,,,,,,,,,3.934814800013555,4.183924800017849,4.183924800017849,4.433641400013585,4.433641400013585,4.417530500009889,4.417550700018182,4.433641400013585,4.733663899998646,4.667469000007259,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,turtle,shoe,car,horse,full left,slight right,full right,slight left,True,2.581,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.66762920000474,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,4.733663899998646,7.669876800006023,2,0.6363827000022866,None,7.671784400008619,7.686154199996963,10.317251700005727,10.253375700005563,10.253412699996261,10.253878000017721,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,0,0,0,0,11.451137600000948,,,,,,,,,10.25426059999154,10.317251700005727,11.267602000007173,11.268330799997784,11.451137600000948,11.451137600000948,11.703768100007437,11.703768100007437,11.688842100003967,11.688866100012092,11.703768100007437,12.100631500012241,11.937356200010981,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,1,0,1,0,12.100631500012241,,,,,,,,,,,,11.93769940000493,12.100631500012241,12.100631500012241,12.349867000011727,12.349867000011727,12.33406749999267,12.334097200015094,12.349867000011727,12.833750399993733,12.584367100003874,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,2,0,2,0,12.833750399993733,,,,,,,,,,,,12.584894200001145,12.833750399993733,12.833750399993733,13.083420700015267,13.083420700015267,13.067457500001183,13.067485500010662,13.083420700015267,13.366769999993267,13.317293000000063,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
turtle,4,stim//ori1.png,stim//turtle4.png,full left,full right,slight left,slight right,shoe,car,horse,turtle,False,2.775,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13.317466600012267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,13.366769999993267,16.319459099991946,2,1.502471499989042,None,16.321576699992875,16.336064500006614,19.133323200017912,19.103219500015257,19.103242300014244,19.10359400001471,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
horse,4,stim//obj1.png,stim//horse4.png,full right,slight right,slight left,full left,horse,car,shoe,turtle,False,2.161,,,,,0,2,2,2,0,0,0,0,20.30192480000551,,,,,,,,,19.103940600005444,19.133323200017912,20.116840300004696,20.117926000006264,20.30192480000551,20.30192480000551,20.552625100011937,20.552625100011937,20.538167399994563,20.538197299989406,20.552625100011937,20.949980400007917,20.786382799997227,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-11-06_07h40.40.127,pilotv1,2023.2.3,60.31723245240819,2023-11-06 07h40.52.574337 +0100,
