category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01366930000949651,0.014103099994827062,0.014576399989891797,0.029966200003400445,0.029966200003400445,13.864183600002434,['5'],[13.823174000019208],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,0,0,0,0,15.091769799997564,,,,,,,,,,,13.87046929995995,13.890781499969307,15.091769799997564,14.875637899967842,14.876283899997361,15.091769799997564,15.091769799997564,15.342089699988719,15.342089699988719,15.32564439997077,15.325658999965526,15.342089699988719,15.708968499966431,15.576387199980672,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,1,0,1,0,15.708968499966431,,,,,,,,,,,,,,,15.576668599969707,15.708968499966431,15.708968499966431,15.95907859998988,15.95907859998988,15.943101799988654,15.943121899967082,15.95907859998988,16.376097399974242,16.193472999962978,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,2,0,2,0,16.376097399974242,,,,,,,,,,,,,,,16.193798699998297,16.376097399974242,16.376097399974242,16.62640329997521,16.62640329997521,16.610427199979313,16.610439499956556,16.62640329997521,16.9433339999523,16.860437499999534,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
car,2,stim//obj2.png,stim//car2.png,Turtle,Horse,Car,Shoe,Full Left,Half Right,Half Left,Full Right,True,2.475,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.887159399979282,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,16.9433339999523,20.214591900003143,3,0.26143559999763966,None,None,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,0,0,0,0,21.34691969997948,,,,,,,,,,,20.216171699983533,20.245806299964897,21.34691969997948,21.230990599957295,21.231814900005702,21.34691969997948,21.34691969997948,21.59709080000175,21.59709080000175,21.581260599952657,21.58128939999733,21.59709080000175,21.950323799974285,21.831344400008675,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,1,0,1,0,21.950323799974285,,,,,,,,,,,,,,,21.83162099996116,21.950323799974285,21.950323799974285,22.19752399995923,22.19752399995923,22.18224900000496,22.182262199989054,22.19752399995923,22.61478659999557,22.431492600007914,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,2,0,2,0,22.61478659999557,,,,,,,,,,,,,,,22.431759600003716,22.61478659999557,22.61478659999557,22.864858099957928,22.864858099957928,22.849015899992082,22.849045299983118,22.864858099957928,23.14844899997115,23.099371399963275,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
horse,1,stim//ori2.png,stim//horse1.png,Half Left,Full Right,Full Left,Half Right,Car,Horse,Shoe,Turtle,False,2.425,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.119604100007564,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,23.14844899997115,26.969526099972427,2,0.8085362000274472,None,None,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
car,1,stim//obj1.png,stim//car1.png,Half Left,Full Right,Full Left,Half Right,Car,Turtle,Horse,Shoe,False,2.877,,,,,0,2,2,2,0,0,0,0,28.102446599979885,,,,,,,,,,,26.97069739998551,26.984891599975526,28.102446599979885,27.969838599965442,27.970382699975744,28.102446599979885,28.102446599979885,28.352709500002675,28.352709500002675,28.33664970000973,28.336674399964977,28.352709500002675,28.703053499979433,28.586452099960297,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
car,1,stim//obj1.png,stim//car1.png,Half Left,Full Right,Full Left,Half Right,Car,Turtle,Horse,Shoe,False,2.877,,,,,0,2,2,2,1,0,1,0,28.703053499979433,,,,,,,,,,,,,,,28.58669959998224,28.703053499979433,28.703053499979433,28.953185599995777,28.953185599995777,28.937280599959195,28.937293099996168,28.953185599995777,29.370124499953818,29.187384899996687,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
car,1,stim//obj1.png,stim//car1.png,Half Left,Full Right,Full Left,Half Right,Car,Turtle,Horse,Shoe,False,2.877,,,,,0,2,2,2,2,0,2,0,29.370124499953818,,,,,,,,,,,,,,,29.18767279997701,29.370124499953818,29.370124499953818,29.620494099974167,29.620494099974167,29.604323499952443,29.604336099990178,29.620494099974167,29.888204399961978,29.854799899971113,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
car,1,stim//obj1.png,stim//car1.png,Half Left,Full Right,Full Left,Half Right,Car,Turtle,Horse,Shoe,False,2.877,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.871318999968935,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,29.888204399961978,37.62817759998143,1,4.725261899991892,None,None,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
shoe,3,stim//obj2.png,stim//shoe3.png,Full Right,Half Right,Full Left,Half Left,Horse,Shoe,Car,Turtle,False,2.181,,,,,0,3,3,3,0,0,0,0,38.74446670000907,,,,,,,,,,,37.629348499991465,37.643990199954715,38.74446670000907,38.628115199971944,38.628691099991556,38.74446670000907,38.74446670000907,38.99498550000135,38.99498550000135,38.97853769996436,38.978560799965635,38.99498550000135,39.345409800007474,39.22913880000124,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
shoe,3,stim//obj2.png,stim//shoe3.png,Full Right,Half Right,Full Left,Half Left,Horse,Shoe,Car,Turtle,False,2.181,,,,,0,3,3,3,1,0,1,0,39.345409800007474,,,,,,,,,,,,,,,39.229710299987346,39.345409800007474,39.345409800007474,39.59611230000155,39.59611230000155,39.581611900008284,39.58164519997081,39.59611230000155,40.01222089998191,39.830234900000505,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
shoe,3,stim//obj2.png,stim//shoe3.png,Full Right,Half Right,Full Left,Half Left,Horse,Shoe,Car,Turtle,False,2.181,,,,,0,3,3,3,2,0,2,0,40.01222089998191,,,,,,,,,,,,,,,39.83066380000673,40.01222089998191,40.01222089998191,40.262354899954516,40.262354899954516,40.246562199958134,40.246591999952216,40.262354899954516,40.546520499978215,40.49647129996447,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_16h08.40.263,pilotv2,2023.2.3,60.353599671246165,2023-11-08 16h08.51.611051 +0100,
