n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,3
date,2023-11-07_10h46.49.421
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92006663630907
expStart,2023-11-07 10h47.00.461411 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,3
date,2023-11-07_10h46.49.421
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92006663630907
expStart,2023-11-07 10h47.00.461411 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,3
date,2023-11-07_10h46.49.421
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92006663630907
expStart,2023-11-07 10h47.00.461411 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,3
date,2023-11-07_10h46.49.421
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92006663630907
expStart,2023-11-07 10h47.00.461411 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,3
date,2023-11-07_10h46.49.421
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92006663630907
expStart,2023-11-07 10h47.00.461411 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,3
date,2023-11-07_10h46.49.421
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92006663630907
expStart,2023-11-07 10h47.00.461411 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,3
date,2023-11-07_10h46.49.421
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92006663630907
expStart,2023-11-07 10h47.00.461411 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,3
date,2023-11-07_10h46.49.421
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92006663630907
expStart,2023-11-07 10h47.00.461411 +0100
﻿n,order,,
3.0,0.0, 1.0, 2.0

extraInfo
participant,44
session,3
date,2023-11-07_10h46.49.421
expName,pilotv2
psychopyVersion,2023.2.3
frameRate,59.92006663630907
expStart,2023-11-07 10h47.00.461411 +0100
