category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,response.started,fixCross.started,text1.started,text2.started,text3.started,text4.started,text5.started,text6.started,text7.started,text8.started,kb.started,num1.started,num2.started,num3.started,num4.started,response.stopped,kb.keys,kb.rt,kb.duration,codeAcc.started,codeAcc.stopped,ITI.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015770600002724677,0.01621629996225238,0.016592999978456646,0.032206099946051836,0.032206099946051836,1.2506483999895863,['5'],[1.2170162000111304],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1,2023-11-07_10h39.51.924,pilotv2,2023.2.3,60.14458758323459,2023-11-07 10h39.57.759241 +0100,
horse,3,stim//obj2.png,stim//horse3.png,Half Left,Half Right,Full Left,Full Right,Car,Turtle,Horse,Shoe,False,2.504,,,,,0,0,0,0,0,0,0,0,2.435798899969086,,,,,,,,,,,1.2738828999572434,1.2833205999922939,2.2508029000018723,2.2514986000023782,2.435798899969086,2.435798899969086,2.6846873999456875,2.6846873999456875,2.668058799987193,2.6680720999720506,2.6846873999456875,3.0347832999541424,2.918558299948927,,,,,,,,,,,,,,,,,,,,,,,44,1,2023-11-07_10h39.51.924,pilotv2,2023.2.3,60.14458758323459,2023-11-07 10h39.57.759241 +0100,
horse,3,stim//obj2.png,stim//horse3.png,Half Left,Half Right,Full Left,Full Right,Car,Turtle,Horse,Shoe,False,2.504,,,,,0,0,0,0,1,0,1,0,3.0347832999541424,,,,,,,,,,,,,,2.91882539994549,3.0347832999541424,3.0347832999541424,3.2850499999476597,3.2850499999476597,3.269896299985703,3.2699210999999195,3.2850499999476597,3.7022204999811947,3.5191075999755412,,,,,,,,,,,,,,,,,,,,,,,44,1,2023-11-07_10h39.51.924,pilotv2,2023.2.3,60.14458758323459,2023-11-07 10h39.57.759241 +0100,
horse,3,stim//obj2.png,stim//horse3.png,Half Left,Half Right,Full Left,Full Right,Car,Turtle,Horse,Shoe,False,2.504,,,,,0,0,0,0,2,0,2,0,3.7022204999811947,,,,,,,,,,,,,,3.5195333999581635,3.7022204999811947,3.7022204999811947,3.9523019999614917,3.9523019999614917,3.9365107999765314,3.9365235999575816,3.9523019999614917,4.268751700001303,4.1863212999887764,,,,,,,,,,,,,,,,,,,,,,,44,1,2023-11-07_10h39.51.924,pilotv2,2023.2.3,60.14458758323459,2023-11-07 10h39.57.759241 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.214416999951936,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,4.268751700001303,7.1887601999915205,3,1.4851897999760695,None,7.189911799971014,7.190370199969038,7.190382699947804,,,,,,,,
