category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,text.started,text.stopped,image.started,image.stopped,fixCrossR_2.started,fixCrossR_2.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,cat.started,cat.stopped,turtle.started,turtle.stopped,auto.started,auto.stopped,hand.started,hand.stopped,farleft.started,farleft.stopped,farright.started,farright.stopped,nearleft.started,nearleft.stopped,nearright.started,nearright.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,1,1,stim//cat1.png,0,0,0,0,0,0,0,0,16.555074599999898,None,17.77289589999964,None,17.77289589999964,None,17.82224899999983,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,1,1,stim//cat1.png,0,0,0,0,1,0,1,0,,,18.172367499999382,None,18.172367499999382,None,18.322497099999964,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,1,1,stim//cat1.png,0,0,0,0,2,0,2,0,,,18.672807199999625,None,18.672807199999625,None,18.822941099999298,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,1,1,stim//cat1.png,0,0,0,0,,,,,,,,,,,,,19.073316899999554,None,19.073316899999554,None,19.073316899999554,None,19.073316899999554,None,19.073316899999554,None,19.073316899999554,None,19.073316899999554,None,19.073316899999554,None,19.073316899999554,None,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,1,0,stim//cat1.png,0,1,1,1,0,0,0,0,,,22.175930099999277,None,22.175930099999277,None,22.325738999999885,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,1,0,stim//cat1.png,0,1,1,1,1,0,1,0,,,22.65924079999968,None,22.65924079999968,None,22.826169599999957,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,1,0,stim//cat1.png,0,1,1,1,2,0,2,0,,,23.160024099999646,None,23.160024099999646,None,23.309922399999778,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,1,0,stim//cat1.png,0,1,1,1,,,,,,,,,,,,,23.560392299999876,None,23.560392299999876,None,23.560392299999876,None,23.560392299999876,None,23.560392299999876,None,23.560392299999876,None,23.560392299999876,None,23.560392299999876,None,23.560392299999876,None,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,2,1,stim//cat2.png,0,2,2,2,0,0,0,0,,,26.662916999999652,None,26.662916999999652,None,26.812923399999818,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,2,1,stim//cat2.png,0,2,2,2,1,0,1,0,,,27.148931799999446,None,27.148931799999446,None,27.31313669999963,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,2,1,stim//cat2.png,0,2,2,2,2,0,2,0,,,27.663843399999678,None,27.663843399999678,None,27.81392489999962,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,2,1,stim//cat2.png,0,2,2,2,,,,,,,,,,,,,28.064090699999724,None,28.064090699999724,None,28.064090699999724,None,28.064090699999724,None,28.064090699999724,None,28.064090699999724,None,28.064090699999724,None,28.064090699999724,None,28.064090699999724,None,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,2,0,stim//cat2.png,0,3,3,3,0,0,0,0,,,31.166690600000038,None,31.166690600000038,None,31.317854500000067,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
cat,2,0,stim//cat2.png,0,3,3,3,1,0,1,0,,,31.666943700000047,None,31.666943700000047,None,31.81740019999961,None,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h26.58.287,untitled,2022.1.4,59.773684874387605,
