2.8560 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
6.4792 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
7.3099 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C8B08B12E0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C8B08B1280>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001C8B08B10D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001C8B0E66280>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.3100 	EXP 	window1: mouseVisible = True
7.3100 	EXP 	window1: backgroundImage = ''
7.3100 	EXP 	window1: backgroundFit = 'none'
7.3116 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.3116 	EXP 	window1: recordFrameIntervals = False
7.4754 	EXP 	window1: recordFrameIntervals = True
7.6598 	EXP 	Screen (0) actual frame rate measured at 59.80Hz
7.6599 	EXP 	window1: recordFrameIntervals = False
7.6601 	EXP 	window1: mouseVisible = False
9.9084 	EXP 	pilotv2: status = STARTED
9.9088 	EXP 	window1: mouseVisible = True
9.9190 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
9.9192 	EXP 	window1: mouseVisible = True
9.9194 	EXP 	window1: mouseVisible = True
9.9198 	EXP 	window1: mouseVisible = True
9.9202 	EXP 	window1: mouseVisible = True
9.9411 	EXP 	window1: mouseVisible = True
9.9412 	EXP 	window1: mouseVisible = True
9.9416 	EXP 	window1: mouseVisible = True
9.9420 	EXP 	window1: mouseVisible = True
9.9598 	EXP 	window1: mouseVisible = True
9.9600 	EXP 	window1: mouseVisible = True
9.9601 	EXP 	window1: mouseVisible = True
9.9606 	EXP 	window1: mouseVisible = True
9.9609 	EXP 	window1: mouseVisible = True
9.9771 	EXP 	window1: mouseVisible = True
9.9772 	EXP 	window1: mouseVisible = True
9.9776 	EXP 	window1: mouseVisible = True
9.9780 	EXP 	window1: mouseVisible = True
9.9812 	EXP 	window1: mouseVisible = True
9.9814 	EXP 	window1: mouseVisible = True
10.0538 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.0540 	EXP 	window1: mouseVisible = True
10.0542 	EXP 	window1: mouseVisible = True
10.0546 	EXP 	window1: mouseVisible = True
10.0550 	EXP 	window1: mouseVisible = True
10.0786 	EXP 	window1: mouseVisible = True
10.0787 	EXP 	window1: mouseVisible = True
10.0791 	EXP 	window1: mouseVisible = True
10.0795 	EXP 	window1: mouseVisible = True
10.0896 	EXP 	window1: mouseVisible = True
10.0898 	EXP 	window1: mouseVisible = True
10.0900 	EXP 	window1: mouseVisible = True
10.0904 	EXP 	window1: mouseVisible = True
10.0908 	EXP 	window1: mouseVisible = True
10.0992 	EXP 	window1: mouseVisible = True
10.0993 	EXP 	window1: mouseVisible = True
10.0997 	EXP 	window1: mouseVisible = True
10.1002 	EXP 	window1: mouseVisible = True
10.1035 	EXP 	window1: mouseVisible = True
10.1036 	EXP 	window1: mouseVisible = True
10.1080 	EXP 	Created image_17 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori1.png', interpolate=True, mask=None, maskParams=None, name='image_17', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
10.1081 	EXP 	window1: mouseVisible = True
10.1126 	EXP 	Created text_9 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_9', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.1128 	EXP 	window1: mouseVisible = True
10.1130 	EXP 	window1: mouseVisible = True
10.1134 	EXP 	window1: mouseVisible = True
10.1138 	EXP 	window1: mouseVisible = True
10.1175 	EXP 	window1: mouseVisible = True
10.1176 	EXP 	window1: mouseVisible = True
10.1180 	EXP 	window1: mouseVisible = True
10.1184 	EXP 	window1: mouseVisible = True
10.1217 	EXP 	window1: mouseVisible = True
10.1219 	EXP 	window1: mouseVisible = True
10.1220 	EXP 	window1: mouseVisible = True
10.1224 	EXP 	window1: mouseVisible = True
10.1228 	EXP 	window1: mouseVisible = True
10.1265 	EXP 	window1: mouseVisible = True
10.1267 	EXP 	window1: mouseVisible = True
10.1271 	EXP 	window1: mouseVisible = True
10.1274 	EXP 	window1: mouseVisible = True
10.1307 	EXP 	window1: mouseVisible = True
10.1308 	EXP 	window1: mouseVisible = True
10.1350 	EXP 	Created image_18 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj2.png', interpolate=True, mask=None, maskParams=None, name='image_18', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
10.1352 	EXP 	window1: mouseVisible = True
