2.3795 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
9.2962 	EXP 	window1: mouseVisible = True
9.2963 	EXP 	window1: mouseVisible = True
9.3002 	EXP 	Created image_18 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj2.png', interpolate=True, mask=None, maskParams=None, name='image_18', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
9.3003 	EXP 	window1: mouseVisible = True
9.3051 	EXP 	Created text_10 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_10', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.3053 	EXP 	window1: mouseVisible = True
9.3054 	EXP 	window1: mouseVisible = True
9.3059 	EXP 	window1: mouseVisible = True
9.3063 	EXP 	window1: mouseVisible = True
9.3100 	EXP 	window1: mouseVisible = True
9.3102 	EXP 	window1: mouseVisible = True
9.3106 	EXP 	window1: mouseVisible = True
9.3110 	EXP 	window1: mouseVisible = True
9.3143 	EXP 	window1: mouseVisible = True
9.3145 	EXP 	window1: mouseVisible = True
9.3146 	EXP 	window1: mouseVisible = True
9.3150 	EXP 	window1: mouseVisible = True
9.3154 	EXP 	window1: mouseVisible = True
9.3192 	EXP 	window1: mouseVisible = True
9.3194 	EXP 	window1: mouseVisible = True
9.3198 	EXP 	window1: mouseVisible = True
9.3202 	EXP 	window1: mouseVisible = True
9.3236 	EXP 	window1: mouseVisible = True
9.3237 	EXP 	window1: mouseVisible = True
9.3280 	EXP 	Created image_19 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori2.png', interpolate=True, mask=None, maskParams=None, name='image_19', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
9.3282 	EXP 	window1: mouseVisible = True
9.3329 	EXP 	Created text_11 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_11', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
9.3331 	EXP 	window1: mouseVisible = True
9.3332 	EXP 	window1: mouseVisible = True
9.3336 	EXP 	window1: mouseVisible = True
9.3340 	EXP 	window1: mouseVisible = True
9.3379 	EXP 	window1: mouseVisible = True
9.3381 	EXP 	window1: mouseVisible = True
9.3385 	EXP 	window1: mouseVisible = True
9.3389 	EXP 	window1: mouseVisible = True
9.3423 	EXP 	window1: mouseVisible = True
9.3425 	EXP 	window1: mouseVisible = True
9.3426 	EXP 	window1: mouseVisible = True
9.3430 	EXP 	window1: mouseVisible = True
9.3435 	EXP 	window1: mouseVisible = True
9.3475 	EXP 	window1: mouseVisible = True
9.3476 	EXP 	window1: mouseVisible = True
9.3480 	EXP 	window1: mouseVisible = True
9.3484 	EXP 	window1: mouseVisible = True
9.3519 	EXP 	window1: mouseVisible = True
9.3520 	EXP 	window1: mouseVisible = True
9.3561 	EXP 	Created image_20 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/obj1.png', interpolate=True, mask=None, maskParams=None, name='image_20', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
9.3562 	EXP 	window1: mouseVisible = True
