category,orientation,taskOrientation,stimfile,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,stimloop.thisRepN,stimloop.thisTrialN,stimloop.thisN,stimloop.thisIndex,text.started,text.stopped,image.started,image.stopped,fixCrossR_2.started,fixCrossR_2.stopped,fixCrossR_4.started,fixCrossR_4.stopped,fixCrossR_3.started,fixCrossR_3.stopped,cat.started,cat.stopped,turtle.started,turtle.stopped,auto.started,auto.stopped,hand.started,hand.stopped,farleft.started,farleft.stopped,farright.started,farright.stopped,nearleft.started,nearleft.stopped,nearright.started,nearright.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
cat,1,1,stim//cat1.png,0,0,0,0,0,0,0,0,9.504987099999198,None,10.723518999999214,None,10.723518999999214,None,10.756679799999802,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,1,1,stim//cat1.png,0,0,0,0,1,0,1,0,,,11.108272199999192,None,11.108272199999192,None,11.257280799999535,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,1,1,stim//cat1.png,0,0,0,0,2,0,2,0,,,11.60674889999973,None,11.60674889999973,None,11.757695899999817,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,1,1,stim//cat1.png,0,0,0,0,,,,,,,,,,,,,12.007845699999962,None,12.007845699999962,None,12.007845699999962,None,12.007845699999962,None,12.007845699999962,None,12.007845699999962,None,12.007845699999962,None,12.007845699999962,None,12.007845699999962,None,1,1.480456100000083,12.007845699999962,None,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,1,0,stim//cat1.png,0,1,1,1,0,0,0,0,,,13.608149499999854,None,13.608149499999854,None,13.858348299999307,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,1,0,stim//cat1.png,0,1,1,1,1,0,1,0,,,14.208551099999568,None,14.208551099999568,None,14.459053900000072,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,1,0,stim//cat1.png,0,1,1,1,2,0,2,0,,,14.809343899999476,None,14.809343899999476,None,15.059583299999758,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,1,0,stim//cat1.png,0,1,1,1,,,,,,,,,,,,,15.309831999999915,None,15.309831999999915,None,15.309831999999915,None,15.309831999999915,None,15.309831999999915,None,15.309831999999915,None,15.309831999999915,None,15.309831999999915,None,15.309831999999915,None,5,0.3696906000004674,15.309831999999915,None,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,2,1,stim//cat2.png,0,2,2,2,0,0,0,0,,,15.809867699999813,None,15.809867699999813,None,16.060410799999772,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,2,1,stim//cat2.png,0,2,2,2,1,0,1,0,,,16.410637799999677,None,16.410637799999677,None,16.66052799999943,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,2,1,stim//cat2.png,0,2,2,2,2,0,2,0,,,17.010967700000037,None,17.010967700000037,None,17.26101699999981,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,2,1,stim//cat2.png,0,2,2,2,,,,,,,,,,,,,17.51148419999936,None,17.51148419999936,None,17.51148419999936,None,17.51148419999936,None,17.51148419999936,None,17.51148419999936,None,17.51148419999936,None,17.51148419999936,None,17.51148419999936,None,2,0.4325410000010379,17.51148419999936,None,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,2,0,stim//cat2.png,0,3,3,3,0,0,0,0,,,18.062451499999952,None,18.062451499999952,None,18.31214369999998,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,2,0,stim//cat2.png,0,3,3,3,1,0,1,0,,,18.662632499999745,None,18.662632499999745,None,18.9126925999999,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,2,0,stim//cat2.png,0,3,3,3,2,0,2,0,,,19.26302409999971,None,19.26302409999971,None,19.51320659999965,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,2,0,stim//cat2.png,0,3,3,3,,,,,,,,,,,,,19.7634666999993,None,19.7634666999993,None,19.7634666999993,None,19.7634666999993,None,19.7634666999993,None,19.7634666999993,None,19.7634666999993,None,19.7634666999993,None,19.7634666999993,None,3,0.3012596000007761,19.7634666999993,None,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,3,1,stim//cat3.png,0,4,4,4,0,0,0,0,,,20.180129899999883,None,20.180129899999883,None,20.431019599999672,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,3,1,stim//cat3.png,0,4,4,4,1,0,1,0,,,20.780729499999325,None,20.780729499999325,None,21.031435699999747,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,3,1,stim//cat3.png,0,4,4,4,2,0,2,0,,,21.381162499999846,None,21.381162499999846,None,21.632124199999453,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,3,1,stim//cat3.png,0,4,4,4,,,,,,,,,,,,,21.88203159999921,None,21.88203159999921,None,21.88203159999921,None,21.88203159999921,None,21.88203159999921,None,21.88203159999921,None,21.88203159999921,None,21.88203159999921,None,21.88203159999921,None,5,2.037401100000352,21.88203159999921,None,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,3,0,stim//cat3.png,0,5,5,5,0,0,0,0,,,24.05028729999958,None,24.05028729999958,None,24.300351599999885,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,3,0,stim//cat3.png,0,5,5,5,1,0,1,0,,,24.650503699999717,None,24.650503699999717,None,24.901049299999613,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,3,0,stim//cat3.png,0,5,5,5,2,0,2,0,,,25.25118349999957,None,25.25118349999957,None,25.501506199999312,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,3,0,stim//cat3.png,0,5,5,5,,,,,,,,,,,,,25.751323599999523,None,25.751323599999523,None,25.751323599999523,None,25.751323599999523,None,25.751323599999523,None,25.751323599999523,None,25.751323599999523,None,25.751323599999523,None,25.751323599999523,None,1,1.4077974000001632,25.751323599999523,None,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,4,1,stim//cat4.png,0,6,6,6,0,0,0,0,,,27.286343799999486,None,27.286343799999486,None,27.5362312999996,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,4,1,stim//cat4.png,0,6,6,6,1,0,1,0,,,27.886881799999173,None,27.886881799999173,None,28.137095699999918,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
cat,4,1,stim//cat4.png,0,6,6,6,2,0,2,0,,,28.48728349999965,None,28.48728349999965,None,28.737558299999364,None,,,,,,,,,,,,,,,,,,,,,,,,001,2023-10-11_15h35.38.983,untitled,2022.1.4,59.99934000725476,
