InstructionsFilepath,Instructions2Filepath,category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,interval,trainingLoop.thisRepN,trainingLoop.thisTrialN,trainingLoop.thisN,trainingLoop.thisIndex,instructions_controller.thisRepN,instructions_controller.thisTrialN,instructions_controller.thisN,instructions_controller.thisIndex,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,instructions2_controller.thisRepN,instructions2_controller.thisTrialN,instructions2_controller.thisN,instructions2_controller.thisIndex,instruction2_slide_loop.thisRepN,instruction2_slide_loop.thisTrialN,instruction2_slide_loop.thisN,instruction2_slide_loop.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,instructionPrep.started,instructionPrep.stopped,Instructions1.started,imageInstruct.started,buttonNext.started,buttonBack.started,Instructions1.stopped,buttonNext.numClicks,buttonNext.timesOn,buttonNext.timesOff,buttonBack.numClicks,buttonBack.timesOn,buttonBack.timesOff,test1.started,text_8.started,button.started,button_2.started,image_17.started,test1.stopped,button.numClicks,button.timesOn,button.timesOff,button_2.numClicks,button_2.timesOn,button_2.timesOff,test2.started,text_9.started,button_3.started,button_4.started,image_18.started,test2.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,button_4.numClicks,button_4.timesOn,button_4.timesOff,test3.started,text_10.started,button_5.started,button_7.started,image_19.started,test3.stopped,button_5.numClicks,button_5.timesOn,button_5.timesOff,button_7.numClicks,button_7.timesOn,button_7.timesOff,test4.started,text_11.started,button_6.started,button_8.started,image_20.started,test4.stopped,button_6.numClicks,button_6.timesOn,button_6.timesOff,button_8.numClicks,button_8.timesOn,button_8.timesOff,instruction2prep.started,instruction2prep.stopped,Instructions2.started,imageInstruct_2.started,buttonNext_2.started,buttonBack_2.started,Instructions2.stopped,buttonNext_2.numClicks,buttonNext_2.timesOn,buttonNext_2.timesOff,buttonBack_2.numClicks,buttonBack_2.timesOn,buttonBack_2.timesOff,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,babyStim.started,babyStim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions//slide6.png,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,0,0,0,0,,,,,,,,,,,,,,,,,2.7470007999800146,,,,2.6539671000209637,2.654376599995885,2.658179400023073,2.7470007999800146,2.7470007999800146,2.7470007999800146,2.765260500018485,1,[0.0324720999924466],[0.03247669996926561],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,2.8972991000046022,,,,2.806987499992829,2.8073725000140257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
,instructions//slide7.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,4.722168100008275,,,,,,,,,,,,,,,,,2.879393799987156,2.8972991000046022,2.8972991000046022,2.8972991000046022,2.8972991000046022,3.6827002000063658,0,,,1,[0.80154339998262],[0.8015536000020802],3.683230100024957,3.697707100014668,3.697707100014668,3.697707100014668,3.697707100014668,4.049126699974295,1,[0.36444750003283843],[0.3644524000119418],0,,,4.0496501000016,4.06463600002462,4.06463600002462,4.06463600002462,4.06463600002462,4.350625300023239,0,,,1,[0.29935960000148043],[0.2993646999821067],4.351149800000712,4.365143299975898,4.365143299975898,4.365143299975898,4.365143299975898,4.6171247999882326,1,[0.26447960000950843],[0.2644846999901347],0,,,4.626115499995649,4.626433899975382,4.630332299973816,4.722168100008275,4.722168100008275,4.722168100008275,5.333812600001693,1,[0.6333272000192665],[0.6333319999976084],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
,instructions//slide8.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,5.517173899977934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.422578300000168,5.423022200004198,5.42703810002422,5.517173899977934,5.517173899977934,5.517173899977934,5.635494299989659,1,[0.13254240003880113],[0.1325477000209503],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
,instructions//slide9.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,5.836615299980622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.721137800021097,5.721507299982477,5.725758299988229,5.836615299980622,5.836615299980622,5.836615299980622,5.984147400013171,1,[0.16150190000189468],[0.1615070999832824],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
,instructions//slide10.png,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3,0,3,0,0,0,0,0,,,,,,,,,6.266417799983174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.143123499990907,6.143543899990618,6.147391300008167,6.266417799983174,6.266417799983174,6.266417799983174,6.368240699986927,1,[0.12305480003124103],[0.1230644999886863],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,2023-11-08_15h04.16.770,pilotv2,2023.2.3,60.191795131916464,2023-11-08 15h04.24.628312 +0100,
