3.2412 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
7.2632 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1080]. Using actual size
8.1768 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025DCAF5F340>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025DCAF5F2E0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-0.4039, -0.4039, -0.4039]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000025DCAF5F130>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000025DCB5082E0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.1769 	EXP 	window1: mouseVisible = True
8.1769 	EXP 	window1: backgroundImage = ''
8.1769 	EXP 	window1: backgroundFit = 'none'
8.1784 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.1785 	EXP 	window1: recordFrameIntervals = False
8.3394 	EXP 	window1: recordFrameIntervals = True
8.5239 	EXP 	Screen (0) actual frame rate measured at 59.75Hz
8.5240 	EXP 	window1: recordFrameIntervals = False
8.5241 	EXP 	window1: mouseVisible = False
10.7908 	EXP 	pilotv2: status = STARTED
10.7912 	EXP 	window1: mouseVisible = True
10.8098 	EXP 	Created imageInstruct = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='imageInstruct', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.6    , 1.00736]), texRes=128.0, units='height', win=Window(...))
10.8101 	EXP 	window1: mouseVisible = True
10.8102 	EXP 	window1: mouseVisible = True
10.8107 	EXP 	window1: mouseVisible = True
10.8111 	EXP 	window1: mouseVisible = True
10.8328 	EXP 	window1: mouseVisible = True
10.8329 	EXP 	window1: mouseVisible = True
10.8333 	EXP 	window1: mouseVisible = True
10.8337 	EXP 	window1: mouseVisible = True
10.8518 	EXP 	window1: mouseVisible = True
10.8520 	EXP 	window1: mouseVisible = True
10.8521 	EXP 	window1: mouseVisible = True
10.8525 	EXP 	window1: mouseVisible = True
10.8529 	EXP 	window1: mouseVisible = True
10.8690 	EXP 	window1: mouseVisible = True
10.8691 	EXP 	window1: mouseVisible = True
10.8695 	EXP 	window1: mouseVisible = True
10.8699 	EXP 	window1: mouseVisible = True
10.8732 	EXP 	window1: mouseVisible = True
10.8734 	EXP 	window1: mouseVisible = True
10.9676 	EXP 	Created text_8 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_8', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
10.9678 	EXP 	window1: mouseVisible = True
10.9679 	EXP 	window1: mouseVisible = True
10.9684 	EXP 	window1: mouseVisible = True
10.9688 	EXP 	window1: mouseVisible = True
10.9931 	EXP 	window1: mouseVisible = True
10.9933 	EXP 	window1: mouseVisible = True
10.9937 	EXP 	window1: mouseVisible = True
10.9942 	EXP 	window1: mouseVisible = True
11.0043 	EXP 	window1: mouseVisible = True
11.0045 	EXP 	window1: mouseVisible = True
11.0047 	EXP 	window1: mouseVisible = True
11.0051 	EXP 	window1: mouseVisible = True
11.0055 	EXP 	window1: mouseVisible = True
11.0138 	EXP 	window1: mouseVisible = True
11.0140 	EXP 	window1: mouseVisible = True
11.0144 	EXP 	window1: mouseVisible = True
11.0148 	EXP 	window1: mouseVisible = True
11.0181 	EXP 	window1: mouseVisible = True
11.0182 	EXP 	window1: mouseVisible = True
11.0224 	EXP 	Created image_17 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='stim/ori1.png', interpolate=True, mask=None, maskParams=None, name='image_17', opacity=1.0, ori=0.0, pos=array([0.  , 0.23]), size=array([0.15, 0.15]), texRes=128.0, units='height', win=Window(...))
11.0226 	EXP 	window1: mouseVisible = True
11.0271 	EXP 	Created text_9 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_9', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
11.0273 	EXP 	window1: mouseVisible = True
11.0274 	EXP 	window1: mouseVisible = True
11.0279 	EXP 	window1: mouseVisible = True
11.0282 	EXP 	window1: mouseVisible = True
11.0320 	EXP 	window1: mouseVisible = True
11.0321 	EXP 	window1: mouseVisible = True
11.0325 	EXP 	window1: mouseVisible = True
11.0329 	EXP 	window1: mouseVisible = True
11.0371 	EXP 	window1: mouseVisible = True
11.0373 	EXP 	window1: mouseVisible = True
11.0374 	EXP 	window1: mouseVisible = True
11.0378 	EXP 	window1: mouseVisible = True
11.0382 	EXP 	window1: mouseVisible = True
11.0419 	EXP 	window1: mouseVisible = True
