category,orientation,taskCue,stimfile,resp1,resp2,resp3,resp4,resp5,resp6,resp7,resp8,objFirst,correctButton,interval,delete.thisRepN,delete.thisTrialN,delete.thisN,delete.thisIndex,babySteps.thisRepN,babySteps.thisTrialN,babySteps.thisN,babySteps.thisIndex,babyloop.thisRepN,babyloop.thisTrialN,babyloop.thisN,babyloop.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,thisRow.t,notes,trainingPrep.started,trainingPrep.stopped,IntroBaby.started,key_resp_14.started,text_17.started,IntroBaby.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.duration,taskcue.started,cue.started,cue.stopped,taskcue.stopped,stim.started,image.started,fixCrossR_2.started,image.stopped,fixCrossR_2.stopped,stim.stopped,delay.started,fixCrossR_4.started,fixCrossR_4.stopped,delay.stopped,bResponse.started,fixCross_2.started,text1_2.started,text2_2.started,text3_2.started,text4_2.started,text5_2.started,text6_2.started,text7_2.started,text8_2.started,kb_2.started,num1_2.started,num2_2.started,num3_2.started,num4_2.started,key_resp_2.started,bResponse.stopped,kb_2.keys,kb_2.rt,kb_2.duration,key_resp_2.keys,trainingIntro.started,text_20.started,key_resp_15.started,trainingIntro.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.duration,Intro.started,text.started,key_resp_5.started,Intro.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
turtle,3,stim//ori1.png,stim//turtle3.png,Full Left,Full Right,Half Left,Half Right,Car,Shoe,Turtle,Horse,False,4,2.49,,,,,0,2,2,2,1,0,1,0,,,,,17.185788600007072,,,,,,,,,,,,,,,17.070637799974065,17.185788600007072,17.185788600007072,17.43628159997752,17.43628159997752,17.42038899997715,17.420402399962768,17.43628159997752,17.8535551999812,17.669993299990892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
turtle,3,stim//ori1.png,stim//turtle3.png,Full Left,Full Right,Half Left,Half Right,Car,Shoe,Turtle,Horse,False,4,2.49,,,,,0,2,2,2,2,0,2,0,,,,,17.8535551999812,,,,,,,,,,,,,,,17.670439399953466,17.8535551999812,17.8535551999812,18.103506199957337,18.103506199957337,18.087786399992183,18.08780179999303,18.103506199957337,18.386959499970544,18.337353899958543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
turtle,3,stim//ori1.png,stim//turtle3.png,Full Left,Full Right,Half Left,Half Right,Car,Shoe,Turtle,Horse,False,4,2.49,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.354641199985053,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,18.386959499970544,23.64239399996586,4,2.2513354999828152,None,None,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
car,3,stim//ori1.png,stim//car3.png,Horse,Car,Turtle,Shoe,Full Right,Full Left,Half Left,Half Right,True,4,2.453,,,,,0,3,3,3,0,0,0,0,,,,,24.75900369998999,,,,,,,,,,,23.643845799961127,23.657992799999192,24.75900369998999,24.642720600008033,24.64317509997636,24.75900369998999,24.75900369998999,25.009301999991294,25.009301999991294,24.993179599987343,24.993192499969155,25.009301999991294,25.376321299991105,25.243504599959124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
car,3,stim//ori1.png,stim//car3.png,Horse,Car,Turtle,Shoe,Full Right,Full Left,Half Left,Half Right,True,4,2.453,,,,,0,3,3,3,1,0,1,0,,,,,25.376321299991105,,,,,,,,,,,,,,,25.243752899987157,25.376321299991105,25.376321299991105,25.626298499992117,25.626298499992117,25.610195599962026,25.610218999965582,25.626298499992117,26.05987699999241,25.860886099981144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
car,3,stim//ori1.png,stim//car3.png,Horse,Car,Turtle,Shoe,Full Right,Full Left,Half Left,Half Right,True,4,2.453,,,,,0,3,3,3,2,0,2,0,,,,,26.05987699999241,,,,,,,,,,,,,,,25.861388999968767,26.05987699999241,26.05987699999241,26.31022159999702,26.31022159999702,26.294334499980323,26.294357699982356,26.31022159999702,26.593636599951424,26.54468289995566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
car,3,stim//ori1.png,stim//car3.png,Horse,Car,Turtle,Shoe,Full Right,Full Left,Half Left,Half Right,True,4,2.453,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.565588299999945,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,26.593636599951424,29.96468899998581,2,0.36411750002298504,None,None,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,Half Left,Half Right,Full Right,Full Left,Turtle,Car,Horse,Shoe,False,4,2.826,,,,,0,4,4,4,0,0,0,0,,,,,31.09770139999455,,,,,,,,,,,29.96587620000355,29.981233500002418,31.09770139999455,30.965131799981464,30.965589099971112,31.09770139999455,31.09770139999455,31.34797579998849,31.34797579998849,31.331860699981917,31.331883599981666,31.34797579998849,31.701285499962978,31.582074899983127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,Half Left,Half Right,Full Right,Full Left,Turtle,Car,Horse,Shoe,False,4,2.826,,,,,0,4,4,4,1,0,1,0,,,,,31.701285499962978,,,,,,,,,,,,,,,31.58249739999883,31.701285499962978,31.701285499962978,31.950616999994963,31.950616999994963,31.936238900001626,31.936251599981915,31.950616999994963,32.36514599999646,32.18459530000109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,Half Left,Half Right,Full Right,Full Left,Turtle,Car,Horse,Shoe,False,4,2.826,,,,,0,4,4,4,2,0,2,0,,,,,32.36514599999646,,,,,,,,,,,,,,,32.18513489997713,32.36514599999646,32.36514599999646,32.61557249998441,32.61557249998441,32.599584999959916,32.5995980000007,32.61557249998441,32.899020099954214,32.84983609995106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
shoe,4,stim//obj1.png,stim//shoe4.png,Half Left,Half Right,Full Right,Full Left,Turtle,Car,Horse,Shoe,False,4,2.826,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87312359997304,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,32.899020099954214,36.2697063999949,4,0.3625565999536775,None,None,,,,,,,,,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,36.32185089995619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.315388899995014,36.32185089995619,36.32185089995619,47.39566409995314,['space'],[11.060986099997535],[None],,,,,,,,12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.45455829997081,47.46212179999566,47.46212179999566,49.08013590000337,['5'],[1.6077297999872826],[None],12,0,2023-11-08_18h49.41.142,pilotv2,2023.2.3,59.93342595285725,2023-11-08 18h49.49.925288 +0100,
